,AT1,AT2,Artery_cell,B_cell,CD4T,CD8T,Capillary_Cell,Cilia,Club/Basal,DC1,DC2,Fibroblast,Lymphatic_Cell,Macrophage,Mast_cell,Mono,NK/NKT,Neutrophil,Plasma_cell,Prolif.immune,SM/Pericyte,Vein_cell
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000187608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.9194022764951557,0.0,0.8655302910828853,0.0,0.0,0.0,0.8729893818942203,0.0,0.0
ENSG00000186891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000186827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000078808,0.0,0.8111646607646712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8327721767080212,0.0,0.0,0.0,0.8574261287275824,0.0,0.0,0.0,0.0,0.8374902032290741,0.8095238095238095,0.0,0.0
ENSG00000160087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175756,0.0,0.7351512746437068,0.0,0.0,0.0,0.0,0.0,0.0,0.6791601422546574,0.7520965729087623,0.6666666666666666,0.0,0.0,0.7969972910506019,0.0,0.6871560189558431,0.0,0.0,0.6769828854898874,0.7612804872460692,0.0,0.0
ENSG00000242485,0.0,0.7205569697127855,0.0,0.0,0.0,0.0,0.0,0.0,0.7049556926460089,0.7026377173368894,0.6526571153871256,0.0,0.0,0.751567893947514,0.7463347599031633,0.6346546261504068,0.0,0.0,0.6462009777616881,0.6190476190476191,0.0,0.0
ENSG00000179403,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160075,0.0,0.7702520326176865,0.0,0.0,0.0,0.0,0.0,0.0,0.6897426253520779,0.7422272663251631,0.7024213615795445,0.0,0.0,0.7884608293637919,0.0,0.7097685132560296,0.0,0.0,0.6666666666666666,0.7133027494867565,0.0,0.0
ENSG00000248333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.9735966438614202,0.0,0.0
ENSG00000008128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916277461930029,0.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.9070698648007248,0.0,0.0
ENSG00000008130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.9824274177921135,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000078369,0.2442762641481055,0.20248253796159327,0.36469483077420894,0.28145437543254065,0.2556599983523138,0.0,0.37506286146387346,0.0,0.17041690643600704,0.3852921144772381,0.4238461368000608,0.14285714285714285,0.3789349042720703,0.3478281888082521,0.25678012932158734,0.4341974701556439,0.2604283173101199,0.0,0.15835678105404946,0.3293734457667227,0.2323300430092288,0.3288497310069885
ENSG00000067606,0.9844478825595913,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162585,0.0,0.9340559993999397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9051587138487347,0.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157933,0.0,0.7243824999717932,0.7807593106754919,0.0,0.0,0.0,0.0,0.0,0.0,0.7567234051024612,0.7999327429475152,0.0,0.0,0.772783960047379,0.0,0.0,0.0,0.0,0.0,0.7474284627001178,0.0,0.7142857142857143
ENSG00000157916,0.0,0.7092546333012244,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7580194559017441,0.6750055442618136,0.0,0.0,0.8194470714591785,0.0,0.6944908536242187,0.0,0.0,0.6771507728200581,0.8007338260788889,0.0,0.0
ENSG00000157873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9059108536958237,0.0,0.0,0.0,0.9047619047619048,0.0,0.9550280103161596,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142611,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000069424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.8692471425700349,0.0,0.88456766922622,0.0,0.0,0.0,0.8589769574101915,0.0,0.0
ENSG00000116251,0.09523809523809523,0.22137371460948874,0.16019187119075784,0.39326275009485284,0.3092370208191237,0.13104329031538317,0.10315247359626661,0.0,0.22737386290248535,0.23112010356243565,0.17400811424977017,0.14872690382277548,0.20699751262968277,0.1920714979346754,0.4043275475958816,0.22662956773406828,0.2333324667752346,0.0,0.13698003632428524,0.17137150446919075,0.19031887588628388,0.1606709955174667
ENSG00000097021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.9601337213628854,0.0,0.0
ENSG00000171735,0.0,0.5115113535715603,0.7835782552950273,0.0,0.0,0.0,0.5369411328392619,0.0,0.5550614068376911,0.5564961440389269,0.5951401608482882,0.0,0.5280032990809524,0.563142691744935,0.0,0.48176324431386985,0.0,0.0,0.47619047619047616,0.5315253599932168,0.0,0.6387754149238785
ENSG00000049245,0.0,0.7168625362682861,0.8491928378652831,0.0,0.0,0.0,0.0,0.0,0.0,0.7447690187952125,0.7418055513592922,0.0,0.0,0.7755095141049382,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.7878240520514117
ENSG00000049246,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9541259073643551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116288,0.0,0.5121859548588785,0.38095238095238093,0.0,0.4601451254566486,0.0,0.0,0.0,0.4406305419671493,0.5404502508576855,0.40501633301011253,0.0,0.0,0.581290387262651,0.5281497060467745,0.43643304230628127,0.5184740290539787,0.0,0.4005068589167693,0.6038446830497732,0.5088724896074213,0.3835876001713192
ENSG00000116285,0.8876421798645096,0.8818333449964387,0.0,0.0,0.0,0.0,0.0,0.0,0.8479174470319308,0.0,0.0,0.0,0.0,0.8095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8493447719123237
ENSG00000142599,0.34093109477911476,0.3234802321524087,0.4775533245286264,0.46505925196969533,0.0,0.0,0.46577883602030956,0.14285714285714285,0.28738764732293404,0.2552909383478767,0.4230051732348378,0.30698039118324777,0.3095234361525726,0.20229177747364813,0.3398042667520534,0.24263980517392245,0.21262958130501042,0.0,0.15885412957997594,0.22140221520326844,0.31297810094342293,0.4468866608700356
ENSG00000074800,0.4248343661983086,0.5831966529301275,0.40420673711871097,0.0,0.491976370010089,0.0,0.0,0.0,0.47750973939781105,0.6431496339666639,0.4656882988036718,0.0,0.0,0.6399237337115983,0.4832400238262415,0.5737492884370328,0.4878724475432251,0.0,0.38095238095238093,0.6170155939371603,0.0,0.4193258795049253
ENSG00000049239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171612,0.0,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9288448327017591,0.0,0.0,0.0,0.9069252573231124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000178585,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972056390098684,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0
ENSG00000054523,0.7142857142857143,0.7143481626684542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8191346165393089,0.9313226454806179,0.0,0.0,0.8399087019094719,0.0,0.7669552222690692,0.0,0.0,0.0,0.7169472241687709,0.0,0.0
ENSG00000142657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.9461384126607228,0.0,0.911540237938582,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.9505509217755505,0.0,0.0,0.0,0.0,0.0,0.9254687844415844,0.0,0.0
