,B cell (Plasmocyte),Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte progenitor,Fetal endocrine cell,Macrophage,Pancreas exocrine cell,Stromal cell
ENSG00000142541,0.0,0.10454422980546951,0.020067676901817322,0.048095621168613434,0.13149525225162506,0.012546665966510773,0.016995348036289215,0.10077201575040817,0.11851364374160767
ENSG00000147604,0.0,0.08811485767364502,0.019004955887794495,0.15160926431417465,0.11720477789640427,0.0020783618092536926,0.03836436569690704,0.08136957883834839,0.07655368000268936
ENSG00000162511,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000185885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000166922,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000101608,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000164032,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000221983,0.5159546658396721,0.0,0.375,0.5228096768260002,0.0,0.0,0.5212977379560471,0.4020923152565956,0.47483260184526443
ENSG00000163359,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.8856586366891861
ENSG00000164111,0.0,0.0,0.0,0.8857700601220131,0.0,0.0,0.875,0.0,0.0
ENSG00000156482,0.13649192452430725,0.0,0.0965123251080513,0.06378445029258728,0.15079787373542786,0.06000153720378876,0.08009615540504456,0.11072711646556854,0.16575587540864944
ENSG00000159403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000136156,0.0,0.875,0.9575229734182358,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142669,0.625,0.0,0.0,0.7450697347521782,0.0,0.0,0.7260143607854843,0.0,0.7002129554748535
ENSG00000234745,0.0,0.875,0.8952792137861252,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163453,0.0,0.6415359377861023,0.6805367991328239,0.625,0.0,0.0,0.0,0.0,0.6619752570986748
ENSG00000171766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000104760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000164692,0.0,0.0,0.0,0.8880437463521957,0.0,0.0,0.0,0.0,0.875
ENSG00000161970,0.25,0.30098357051610947,0.2634618952870369,0.0,0.28918231278657913,0.0,0.2545939162373543,0.2529332563281059,0.2574258893728256
ENSG00000143947,0.0,0.047074347734451294,0.003727070987224579,0.07714132219552994,0.1058056578040123,0.043811455368995667,0.017119668424129486,0.047198496758937836,0.03640128672122955
ENSG00000185088,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000140264,0.0,0.1590314283967018,0.14915648847818375,0.2656862363219261,0.12372793257236481,0.09949013590812683,0.13512961566448212,0.030590370297431946,0.21596547961235046
ENSG00000211592,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197958,0.0,0.25,0.31117478013038635,0.31678860634565353,0.394615076482296,0.0,0.30877073109149933,0.37665416300296783,0.3414827883243561
ENSG00000147065,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000149273,0.0,0.11437082290649414,0.05138019472360611,0.0545443594455719,0.16305262595415115,0.06979642063379288,0.06253632158041,0.11371253430843353,0.1260741576552391
ENSG00000019582,0.625,0.6931830942630768,0.7097116634249687,0.0,0.0,0.0,0.7012831121683121,0.0,0.0
ENSG00000185787,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173812,0.8798560872673988,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000275896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000132341,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000122862,0.8497288525104523,0.0,0.75,0.0,0.0,0.0,0.7997768819332123,0.0,0.0
ENSG00000204291,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000174021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137818,0.03865862637758255,0.05544094741344452,0.03264187276363373,0.10428576916456223,0.0269479900598526,0.0,0.03178658336400986,0.017076529562473297,0.08559709042310715
ENSG00000118680,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000083845,0.625,0.0,0.0,0.0,0.7002108246088028,0.0,0.0,0.6978033855557442,0.6945978552103043
ENSG00000100604,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000168028,0.625,0.0,0.0,0.0,0.6934598535299301,0.0,0.0,0.6870944127440453,0.6853203102946281
