,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
ENSG00000188290,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000162576,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000078369,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000116251,0.2,0.2092098593711853,0.28604114055633545,0.27296462059021,0.20234880447387696,0.0
ENSG00000116288,0.0,0.7054543256759643,0.0,0.6,0.6824482321739197,0.0
ENSG00000074800,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000028137,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000142634,0.0,0.0,0.838772964477539,0.8,0.0,0.0
ENSG00000077549,0.0,0.6,0.6442422032356262,0.6639992594718933,0.0,0.0
ENSG00000173436,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000162545,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000142798,0.8557106137275696,0.8,0.0,0.0,0.0,0.0
ENSG00000070831,0.2,0.2887788534164429,0.4484109878540039,0.4332945227622986,0.2629879117012024,0.0
ENSG00000117318,0.6832670450210572,0.6,0.0,0.0,0.6864516258239746,0.0
ENSG00000142676,0.0803598403930664,0.047670602798461914,0.2016029953956604,0.15296627283096315,0.03454247713088989,0.0
ENSG00000133226,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000020633,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000117616,0.0,0.0,0.848934781551361,0.8,0.0,0.0
ENSG00000183726,0.0,0.8573515772819519,0.0,0.8,0.0,0.0
ENSG00000142669,0.0,0.4,0.5311280608177185,0.5004679083824157,0.0,0.41583411693572997
ENSG00000169442,0.0,0.0,0.9016094326972961,0.8,0.0,0.0
ENSG00000198830,0.0,0.6365297436714172,0.0,0.6,0.6605783939361572,0.0
ENSG00000158195,0.0,0.8538257479667664,0.0,0.8,0.0,0.0
ENSG00000000938,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000162511,0.0,0.0,0.8,0.8587884783744812,0.0,0.0
ENSG00000142910,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000184007,0.0,0.8,0.0,0.8589009046554565,0.0,0.0
ENSG00000187513,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000116560,0.0,0.0,0.8,0.8018064379692078,0.0,0.0
ENSG00000168653,0.0,0.8665230631828308,0.0,0.8,0.0,0.0
ENSG00000090621,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000131236,0.0,0.4169288992881775,0.5587631821632385,0.627537477016449,0.4,0.0
ENSG00000131238,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000084070,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000065978,0.2,0.2970627427101135,0.2944419026374817,0.48871350288391113,0.3266714811325073,0.0
ENSG00000117410,0.0,0.0,0.0,1.0,0.0,0.0
