,B cell,Cholangiocyte,Erythroid,Hepatocyte,Inflammatory Macs,LSEC 1,"LSEC 2,3",NK-like,Non-inflammatory Macs,Plasma,Portal endothelial,Stellate,abT cell,gdT cell 1,gdT cell 2
ENSG00000175756,0.0,0.7857142857142857,0.0,0.8505003111703056,0.0,0.0,0.0,0.0,0.0,0.8219113179615566,0.0,0.0,0.0,0.0,0.8466487910066333
ENSG00000242485,0.0,0.7857142857142857,0.0,0.8977440765925816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8445292328085218,0.0,0.0,0.8167558653014046
ENSG00000162585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000157916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000235169,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116251,0.3548618810517447,0.07142857142857142,0.0,0.12031806366784233,0.20722765156200953,0.12082259144101824,0.08012353522436959,0.14231059380940028,0.13240533215659006,0.19483446649142674,0.11087654743875776,0.07274101035935539,0.20613640546798706,0.14417535492352077,0.16712865233421326
ENSG00000116288,0.0,0.7142857142857143,0.0,0.7242882720061711,0.0,0.0,0.0,0.0,0.0,0.7549482541424888,0.0,0.7472152667386192,0.0,0.0,0.8040925434657505
ENSG00000116285,0.0,0.0,0.0,0.9842166602611542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0
ENSG00000074800,0.0,0.723367703812463,0.0,0.7489489104066577,0.7883575303213937,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.8461728606905256
ENSG00000162444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000009724,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000159423,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000077549,0.0,0.0,0.0,0.0,0.8149723751204354,0.0,0.0,0.0,0.7909836513655526,0.0,0.0,0.8252645858696529,0.0,0.0,0.7857142857142857
ENSG00000173436,0.0,0.7457176532064166,0.0,0.7553506408418927,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.7266372484820229,0.0,0.0,0.7933758837836129
ENSG00000162545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142798,0.0,0.0,0.0,0.0,0.0,0.8529442165579114,0.836719389472689,0.0,0.0,0.0,0.8831640269075122,0.7857142857142857,0.0,0.0,0.0
ENSG00000070831,0.0,0.35714285714285715,0.0,0.0,0.5416138044425419,0.36913788318634033,0.0,0.5057485444205148,0.5757784800870078,0.0,0.37469768098422457,0.37978329403059824,0.45303975684302195,0.5403283877032143,0.4509689382144383
ENSG00000173372,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.9528348105294364,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159189,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.9738009699753353,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173369,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.9580341832978385,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117318,0.0,0.0,0.0,0.0,0.0,0.8520906737872532,0.7912829858916146,0.0,0.0,0.0,0.8364300727844238,0.7857142857142857,0.0,0.0,0.0
ENSG00000142676,0.2847425511905125,0.0047769418784550256,0.04023377810205732,0.03651394162859235,0.14018462811197555,0.045556179114750454,0.0,0.07360478384154183,0.012893940721239363,0.12092138613973345,0.022757513182503835,0.02108385307448251,0.16631177067756653,0.07418462208339147,0.07169181959969657
ENSG00000179163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133226,0.0,0.8662825184209006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.9677677197115762
ENSG00000169504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000117614,0.0,0.9285714285714286,0.0,0.0,0.0,0.9456120303698948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188672,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000142669,0.4650587184088571,0.21578120759555272,0.0,0.0,0.697566922221865,0.3118575045040676,0.21428571428571427,0.4087323120662144,0.5218487339360374,0.0,0.2787613868713379,0.2746314065796988,0.5752032697200775,0.620184451341629,0.32531089016369413
ENSG00000169442,0.9572684126240867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0
ENSG00000198830,0.0,0.5716599694320134,0.0,0.0,0.6297224589756557,0.0,0.0,0.6462484087262835,0.656335847718375,0.6680915866579328,0.0,0.5714285714285714,0.0,0.0,0.9054123588970729
ENSG00000090273,0.0,0.0,0.0,0.9871917068958282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0
ENSG00000142748,0.0,0.0,0.0,0.0,0.0,0.0,0.9679809893880572,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0
ENSG00000158195,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.9503177957875388,0.0,0.0,0.0,0.0,0.0,0.0
