,cardiac muscle cell,endothelial cell,fibroblast,leukocyte,mesothelial cell of epicardium,neuron,smooth muscle cell
ENSG00000228794,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000162576,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000221978,0.8333333333333334,0.0,0.9359108118405951,0.0,0.0,0.0,0.0
ENSG00000179403,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000078369,0.0,0.32162317463394835,0.09582097150109616,0.3647658349336547,0.18566579741296252,0.07860564312428268,0.10321628212783722
ENSG00000142611,0.7022835424034803,0.0,0.0,0.0,0.0,0.6666666666666666,0.8314190845265412
ENSG00000158286,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007923,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171735,0.3434777541927218,0.40188692970381634,0.0,0.0,0.40089332090023766,0.3333333333333333,0.576336397685507
ENSG00000049246,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142599,0.059418909048739144,0.1363803172742903,0.048555075201017074,0.11299674567084865,0.017832813646524764,0.0,0.0412968370562569
ENSG00000180758,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049239,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171608,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000178585,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130939,0.21945304259252943,0.059169261259673554,0.08246321117141092,0.10311686027108481,0.10901031659872308,0.0,0.011035239714329495
ENSG00000054523,0.22406477908031763,0.16468540403238108,0.014060782555684567,0.04694598163226873,0.005311442449621766,0.2303623883477474,0.0
ENSG00000142655,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130940,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198793,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177000,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000083444,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000116688,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000028137,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000048707,0.07844690651638209,0.03108685416310153,0.0,0.04077502290965721,0.31389379549867585,0.01541582324601302,0.19485690939802783
ENSG00000162496,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116731,0.5448301887710164,0.0,0.5958059587000172,0.580419957598409,0.0,0.0,0.5
ENSG00000189337,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000171729,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000197312,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116786,0.8333333333333334,0.0,0.0,0.8610928122068869,0.0,0.0,0.0
ENSG00000065526,0.3333333333333333,0.0,0.3874361524996816,0.4002970731823076,0.5161221154856654,0.0,0.3823022721196178
ENSG00000173641,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000037637,0.5411124906122179,0.0,0.650257569505194,0.5862201060686544,0.0,0.0,0.5
ENSG00000117118,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000074964,0.6681032736532585,0.0,0.0,0.6666666666666666,0.0,0.0,0.7739294569697953
ENSG00000127481,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.8589522347057884
ENSG00000077549,0.16666666666666666,0.27602988986289917,0.2106595895307635,0.5454282612240123,0.34293150559957314,0.0,0.2978398648649374
ENSG00000127472,0.0,0.0,0.6666666666666666,0.0,0.7238522740105774,0.0,0.737559630254956
ENSG00000127483,0.0,0.015669843563557422,0.15412493125418222,0.05580789764387475,0.2057424748746536,0.08648858239428958,0.04852686272465826
ENSG00000075151,0.0,0.22670259190060849,0.13612886351396422,0.35093962235703424,0.12221414645922285,0.020176519953610545,0.07719330819701374
ENSG00000117298,0.0,0.5275373937366783,0.34395822791660263,0.0,0.37625596546037005,0.3683594872232942,0.3333333333333333
ENSG00000090686,0.4387523020387141,0.0,0.5367755012989752,0.41388737983584506,0.3333333333333333,0.0,0.3866340237428343
ENSG00000142798,0.3333333333333333,0.5810386176984382,0.47569350521368414,0.0,0.0,0.4873777744446007,0.36400111454371986
ENSG00000070831,0.8333333333333334,0.9261595694947989,0.0,0.0,0.0,0.0,0.0
ENSG00000169641,0.8333333333333334,0.8912644699181392,0.0,0.0,0.0,0.0,0.0
ENSG00000125944,0.3333333333333333,0.0,0.4940348286088206,0.0,0.5125601636656795,0.49669379748952225,0.3919411707454085
ENSG00000204219,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000088280,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117318,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000236810,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188529,0.4004237477402574,0.3333333333333333,0.3545056646707734,0.0,0.42054570265391716,0.0,0.4856203459803661
ENSG00000142661,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133226,0.6830137498201524,0.0,0.6666666666666666,0.0,0.0,0.0,0.7044929138699022
ENSG00000169504,0.23811608152586938,0.2871719181552761,0.16666666666666666,0.0,0.20004419594636733,0.6282223826671423,0.2823124423372772
ENSG00000117616,0.0,0.08738895707625201,0.2296861617380583,0.09406290447481892,0.11942285990470798,0.04500835677508876,0.03380319260381529
ENSG00000204178,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117643,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158022,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130695,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117713,0.0,0.08959139793952614,0.0070457518925159945,0.35984821589166743,0.14970039828807313,0.1477534837777056,0.12817309521654333
ENSG00000142784,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158195,0.0,0.25763729704948757,0.14649301475119442,0.35652338065281874,0.1479614207884379,0.0834708551152038,0.06686839778392269
ENSG00000126705,0.8333333333333334,0.0,0.9015334119471454,0.0,0.0,0.0,0.0
ENSG00000117758,0.6666666666666666,0.0,0.0,0.7867372424166182,0.0,0.0,0.8158340326843665
ENSG00000158161,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130770,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204138,0.11515701406696038,0.2106927543022766,0.0,0.1560158116182448,0.038303316050304737,0.23194152145138705,0.03362664338534047
ENSG00000120656,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159023,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116350,0.16666666666666666,0.3006401554470608,0.17747759180148795,0.18985683112656257,0.2294745337510374,0.0,0.24792886294630279
