,Alveolar_Type1,Alveolar_Type2,B_cells,Blood_vessel,Ciliated,DC_1,DC_2,DC_Monocyte_Dividing,DC_activated,DC_plasmacytoid,Fibroblast,Lymph_vessel,Macrophage_Dividing,Macrophage_MARCOneg,Macrophage_MARCOpos,Mast_cells,Monocyte,Muscle_cells,NK,NK_Dividing,Plasma_cells,T_CD4,T_CD8_CytT,T_cells_Dividing,T_regulatory
ENSG00000187608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,0.0
ENSG00000078808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175756,0.4375,0.4375,0.0,0.0,0.4375,0.4375,0.4375,0.6979166666666666,0.4166666666666667,0.0,0.4375,0.4375,0.7986110895872116,0.0,0.4375,0.0,0.0,0.4375,0.0,0.4375,0.4375,0.0,0.0,0.4375,0.0
ENSG00000242485,0.5833333333333334,0.75,0.0,0.0,0.5833333333333334,0.0,0.0,0.75,0.5833333333333334,0.0,0.5833333333333334,0.5833333333333334,0.75,0.0,0.5833333333333334,0.0,0.0,0.5833333333333334,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0
ENSG00000160075,0.5416666666666666,0.5416666666666666,0.0,0.0,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.0,0.0,0.5416666666666666,0.5416666666666666,0.8472222040096918,0.0,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.0,0.0,0.5416666666666666,0.0
ENSG00000189409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000078369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.875,0.875,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162585,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157916,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.8333333333333334,0.0,0.9166666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000069424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116251,0.2812499975164731,0.4839743822813034,0.07291666666666667,0.07291666666666667,0.07291666666666667,0.5931372418999672,0.3240740771094958,0.51488097012043,0.3014705926179886,0.3014705926179886,0.3708333695928256,0.41287878155708313,0.65416669100523,0.14166666567325592,0.3240740771094958,0.0416666641831398,0.07291666666666667,0.23809522887070975,0.0,0.07291666666666667,0.19444446017344794,0.07291666666666667,0.0,0.23809522887070975,0.0
ENSG00000097021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171735,0.5833333333333334,0.5833333333333334,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,0.5833333333333334,0.5833333333333334,0.7916666666666666,0.0,0.5833333333333334,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
