obo_id,label,level
UBERON:0000948,heart,root
UBERON:8920010,left marginal vein,descendant
UBERON:8920003,right marginal artery,descendant
UBERON:8600055,atrioventricular nodal artery,descendant
UBERON:2000214,hypobranchial vessel,descendant
UBERON:0037144,wall of heart,descendant
UBERON:0035213,basal zone of heart,descendant
UBERON:0034697,inflow tract,descendant
UBERON:0018674,heart vasculature,descendant
UBERON:0015226,bulbar spiral septum,descendant
UBERON:0013220,foramen of Panizza,descendant
UBERON:0013152,interventricular foramen of heart,descendant
UBERON:0011820,atrioventricular region,descendant
UBERON:0010277,mesocardium,descendant
UBERON:0009751,cardiac mesenchyme,descendant
UBERON:0008307,heart endothelium,descendant
UBERON:0006966,coronary capillary,descendant
UBERON:0006212,bulbo-ventricular groove,descendant
UBERON:0006008,fibrous ring of heart,descendant
UBERON:0005985,coronary vessel,descendant
UBERON:0005983,heart layer,descendant
UBERON:0005438,coronary sinus,descendant
UBERON:0004706,bulbus cordis,descendant
UBERON:0004292,cardiac skeleton,descendant
UBERON:0004151,cardiac chamber,descendant
UBERON:0004148,cardiac vein,descendant
UBERON:0004145,outflow tract,descendant
UBERON:0003906,cardiac jelly,descendant
UBERON:0003610,heart elastic tissue,descendant
UBERON:0003498,heart blood vessel,descendant
UBERON:0003282,mesentery of heart,descendant
UBERON:0002349,myocardium,descendant
UBERON:0002348,epicardium,descendant
UBERON:0002511,trabecula carnea,descendant
UBERON:0002165,endocardium,descendant
UBERON:0002099,cardiac septum,descendant
UBERON:0002098,apex of heart,descendant
UBERON:0002062,endocardial cushion,descendant
UBERON:0001621,coronary artery,descendant
UBERON:0000946,cardiac valve,descendant
UBERON:0036328,wall of coronary artery,descendant
UBERON:0004784,heart ventricle wall,descendant
UBERON:0034699,inflow tract of atrium,descendant
UBERON:0034698,inflow tract of ventricle,descendant
UBERON:0002133,atrioventricular valve,descendant
UBERON:0002087,atrioventricular canal,descendant
UBERON:0010279,pericardial sinus,descendant
UBERON:0005601,dorsal mesocardium,descendant
UBERON:0005967,conotruncal ridge,descendant
UBERON:0005316,endocardial endothelium,descendant
UBERON:0004699,outflow tract endothelium,descendant
UBERON:0005997,tricuspid valve anulus,descendant
UBERON:0005995,mitral valve anulus,descendant
UBERON:0005993,pulmonary valve anulus,descendant
UBERON:0005991,aortic valve anulus,descendant
UBERON:0005994,chorda tendineae,descendant
UBERON:0005984,subendocardium layer,descendant
UBERON:0004666,interventricular septum membranous part,descendant
UBERON:0004123,myocardial layer,descendant
UBERON:2005068,bulbus arteriosus inner layer,descendant
UBERON:2005067,bulbus arteriosus middle layer,descendant
UBERON:2005066,bulbus arteriosus outer layer,descendant
UBERON:0006060,conotruncus,descendant
UBERON:0005248,bulbus cordis myocardium,descendant
UBERON:8470002,moderator band,descendant
UBERON:0035763,cavity of cardiac chamber,descendant
UBERON:0035554,right cardiac chamber,descendant
UBERON:0035553,left cardiac chamber,descendant
UBERON:0004152,bulbus arteriosus,descendant
UBERON:0003983,conus arteriosus,descendant
UBERON:0002082,cardiac ventricle,descendant
UBERON:0002081,cardiac atrium,descendant
UBERON:0002063,sinus venosus,descendant
UBERON:0035374,small cardiac vein,descendant
UBERON:0009687,middle cardiac vein,descendant
UBERON:0006958,great vein of heart,descendant
UBERON:0006207,aortico-pulmonary spiral septum,descendant
UBERON:0005946,outflow tract of atrium,descendant
UBERON:0005440,ductus arteriosus,descendant
UBERON:0005432,aortic sac,descendant
UBERON:0005339,outflow tract pulmonary component,descendant
UBERON:0005338,outflow tract aortic component,descendant
UBERON:0005337,outflow tract of ventricle,descendant
UBERON:0004271,outflow tract pericardium,descendant
UBERON:0004265,outflow tract myocardium,descendant
UBERON:0005263,outflow tract cardiac jelly,descendant
UBERON:0004142,outflow tract septum,descendant
UBERON:0004246,outflow tract smooth muscle,descendant
UBERON:0002061,truncus arteriosus,descendant
UBERON:0005262,ventricle cardiac jelly,descendant
UBERON:0005261,atrium cardiac jelly,descendant
