,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Dendritic cell,Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte progenitor,Epithelial cell,Fetal epithelial progenitor,Intercalated cell,Loop of Henle,Macrophage,Mast cell,Monocyte,Neutrophil,Proximal tubule progenitor,Sinusoidal endothelial cell,Smooth muscle cell,Stromal cell,T cell,Ureteric bud cell
ENSG00000116791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196735,0.873563045547122,0.8820754346393403,0.0,0.9103089287167504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142541,0.4130568703015645,0.45917869749523343,0.0,0.3596964279810588,0.0,0.33865930636723834,0.34914988563174293,0.4050276109150478,0.33828805457978023,0.0,0.33509589660735356,0.0,0.3490656500770932,0.3873628434680757,0.3333333333333333,0.33448955558595206,0.0,0.0,0.38381668499537874,0.3906738275573367,0.4628384595825559,0.0
ENSG00000147684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83585296358381,0.0,0.8450628547441392,0.8365788147563026,0.0,0.0,0.0,0.8095238095238095,0.0,0.0,0.0,0.0,0.0,0.8668089395477658
ENSG00000198417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000147604,0.7531378439494542,0.0,0.0,0.0,0.0,0.0,0.7165770615850177,0.7474109871046883,0.7142857142857143,0.0,0.7198827068010966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7524348525773912,0.7184096915381295,0.0,0.0
ENSG00000169442,0.8951257751101539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8855893583524794,0.0,0.0,0.0,0.0,0.0,0.8903433567001706,0.0
ENSG00000162511,0.0,0.0,0.0,0.8606474882080442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873044266587212,0.8571428571428571,0.8752205627305167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000114021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101608,0.0,0.5041432948339553,0.0,0.4123039983567737,0.4653938128834679,0.46209053766159786,0.4384619508470808,0.0,0.38095238095238093,0.42954150835673016,0.0,0.39774055991853985,0.40928847449166433,0.46861120348884944,0.41446585598446073,0.4061342279116313,0.0,0.0,0.0,0.41438074055172147,0.4565465847651164,0.0
ENSG00000062716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9137777373904273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9673895552044823,0.0,0.0,0.9047619047619048,0.0,0.0
ENSG00000125740,0.0,0.0,0.0,0.0,0.0,0.8324941907610212,0.0,0.0,0.8095238095238095,0.0,0.0,0.0,0.0,0.8277099302836827,0.0,0.0,0.0,0.8315669326555162,0.0,0.8283028148469471,0.0,0.0
ENSG00000185825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.961274748756772,0.0
ENSG00000221983,0.0,0.5041272895676749,0.0,0.47789786259333294,0.38095238095238093,0.41952167238507954,0.4786259645507449,0.0,0.41797551938465666,0.0,0.4279183858916873,0.38890537761506583,0.46668308689480736,0.4631650901976086,0.4901583365031651,0.0,0.0,0.48820829959142775,0.0,0.4426529237202236,0.4928946012542361,0.0
ENSG00000159388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164111,0.0,0.0,0.0,0.0,0.0,0.0,0.9409437264714923,0.0,0.0,0.0,0.0,0.0,0.9259810561225528,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.0,0.0
ENSG00000156976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.965050961290087,0.0,0.0
ENSG00000156482,0.7709831084523883,0.7639314305214655,0.0,0.7524642319906325,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7413501143455505,0.0,0.0,0.0,0.0,0.7386524819192433,0.7591574021748134,0.0
ENSG00000136156,0.0,0.0,0.0,0.0,0.6429689327875773,0.6562650090172177,0.0,0.6742058992385864,0.720302559080578,0.0,0.6434717377026876,0.6679020893006098,0.0,0.0,0.0,0.0,0.7284285028775533,0.0,0.6522730361847651,0.6190476190476191,0.0,0.0
ENSG00000142669,0.8150116801261902,0.0,0.0,0.7455030253955296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7561524992897397,0.7476136116754442,0.7798388401667277,0.7142857142857143,0.0,0.0,0.0,0.0,0.7446666331518264,0.0
ENSG00000196975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000234745,0.3991872583116804,0.3328317716008141,0.26848081463859197,0.30273284514745075,0.3253056094759986,0.4238584722791399,0.2834656352088565,0.3161436858631316,0.2624833583831787,0.0,0.2877387972105117,0.0,0.3092034714562552,0.29850506498700097,0.3268077231588818,0.28408820572353544,0.0,0.3175556602932158,0.0,0.23809523809523808,0.3515598830722627,0.0
ENSG00000163453,0.0,0.0,0.0,0.0,0.0,0.677922975449335,0.7577299163455055,0.718328887508029,0.6666666666666666,0.0,0.6718464266686213,0.68922168584097,0.0,0.0,0.0,0.0,0.0,0.0,0.7264216712542942,0.7472975708189464,0.0,0.0
ENSG00000171766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583724226270404,0.0,0.0,0.0,0.0,0.0
ENSG00000184076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095900853474935,0.0,0.9330064200219654,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000140105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000178741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
