obo_id,label,level
UBERON:0002097,skin of body,root
UBERON:0016852,skin scent gland,descendant
UBERON:0012177,skin apocrine gland,descendant
UBERON:0004790,skin mucous gland,descendant
UBERON:0003487,skin sebaceous gland,descendant
UBERON:0002419,skin gland,descendant
UBERON:0002284,hyponychium,descendant
UBERON:0002067,dermis,descendant
UBERON:0001003,skin epidermis,descendant
UBERON:0000014,zone of skin,descendant
UBERON:0016853,interdigital gland,descendant
UBERON:0012281,perianal sebaceous gland,descendant
UBERON:0000382,apocrine sweat gland,descendant
UBERON:0003484,eye sebaceous gland,descendant
UBERON:0007771,epidermis gland,descendant
UBERON:0003605,eye skin gland,descendant
UBERON:3010599,stratum spongiosum,descendant
UBERON:2001186,collagenous dermal stroma,descendant
UBERON:2001183,dermal superficial region,descendant
UBERON:2002242,scale primordium,descendant
UBERON:0035611,hair peg,descendant
UBERON:0035501,unencapsulated tactile receptor,descendant
UBERON:1000010,mole,descendant
UBERON:0011806,dermis of feather follicle,descendant
UBERON:0011801,dermal condensation of feather follicle,descendant
UBERON:0007380,dermal scale,descendant
UBERON:0007377,stratum compactum of dermis,descendant
UBERON:0003719,Pacinian corpuscle,descendant
UBERON:0003585,dermis connective tissue,descendant
UBERON:0003426,dermis adipose tissue,descendant
UBERON:0001993,reticular layer of dermis,descendant
UBERON:0001992,papillary layer of dermis,descendant
UBERON:3010802,courtship gland,descendant
UBERON:2001181,epidermal intermediate stratum,descendant
UBERON:2001179,epidermal superficial stratum,descendant
UBERON:0018278,epidermal egg tooth,descendant
UBERON:0013206,nasal tentacle,descendant
UBERON:0012447,podotheca,descendant
UBERON:0012244,stratum intermedium of epidermis,descendant
UBERON:0012243,nuptial pad,descendant
UBERON:0013487,epidermal ridge of digit,descendant
UBERON:0011807,epidermis of feather follicle,descendant
UBERON:0011783,feather follicle placode,descendant
UBERON:0009564,distal limb integumentary appendage,descendant
UBERON:0010402,epidermis suprabasal layer,descendant
UBERON:0008198,nail plate,descendant
UBERON:0007381,epidermal scale,descendant
UBERON:0009200,limb epidermis,descendant
UBERON:0007330,rhamphotheca,descendant
UBERON:0005083,nipple sheath,descendant
UBERON:0004882,eponychium,descendant
UBERON:0002073,hair follicle,descendant
UBERON:0002071,stratum lucidum of epidermis,descendant
UBERON:0002069,stratum granulosum of epidermis,descendant
UBERON:0002027,stratum corneum of epidermis,descendant
UBERON:0002026,stratum spinosum of epidermis,descendant
UBERON:0002025,stratum basale of epidermis,descendant
UBERON:0001821,sebaceous gland,descendant
UBERON:0001820,sweat gland,descendant
UBERON:0001705,nail,descendant
UBERON:0001037,strand of hair,descendant
UBERON:0000423,eccrine sweat gland,descendant
UBERON:8480074,skin of gonad,descendant
UBERON:8480029,skin of external genitalia,descendant
UBERON:8480025,skin of clavicle region,descendant
UBERON:4300031,fin web,descendant
UBERON:0036150,skin appendage follicle,descendant
UBERON:0035610,hair canal,descendant
UBERON:0019243,skin crease,descendant
UBERON:0019204,skin epithelium,descendant
UBERON:0016915,vermilion,descendant
UBERON:0014481,sex skin,descendant
UBERON:0012180,head or neck skin,descendant
UBERON:0008877,epidermal-dermal junction,descendant
UBERON:0007121,skin nerve field,descendant
UBERON:0003967,cutaneous elastic tissue,descendant
UBERON:0003534,tail skin,descendant
UBERON:0001554,skin of hip,descendant
UBERON:0001483,skin of shoulder,descendant
UBERON:0001419,skin of limb,descendant
UBERON:0001417,skin of neck,descendant
UBERON:0001331,skin of penis,descendant
UBERON:0001085,skin of trunk,descendant
UBERON:0035074,duct of apocrine sweat gland,descendant
UBERON:0034762,areolar sweat gland,descendant
UBERON:0018232,axillary sweat gland,descendant
UBERON:0013228,sweat gland of eyelid,descendant
UBERON:0013211,cerumen gland,descendant
UBERON:0013231,sebaceous gland of eyelid,descendant
UBERON:4500003,predorsal scale,descendant
UBERON:4300222,axilar scale,descendant
UBERON:4300102,postcleithral scale,descendant
UBERON:4000052,ganoid scale,descendant
UBERON:4300188,terminal scale,descendant
UBERON:4000081,cosmoid scale,descendant
UBERON:4000080,keratin-based scale,descendant
UBERON:4000070,elasmoid scale,descendant
UBERON:2002285,cycloid scale,descendant
UBERON:2002273,ctenoid scale,descendant
UBERON:2002122,pouch scale,descendant
UBERON:2002119,dermal scale focus,descendant
UBERON:2002118,scale radius,descendant
UBERON:2002051,scale circulus,descendant
UBERON:2001824,lateral line scale,descendant
UBERON:0018310,cephalic dermal scale,descendant
UBERON:0000041,odontode scale,descendant
UBERON:4000107,elasmodine,descendant
UBERON:4000104,ganoine,descendant
UBERON:0000412,dermal papilla,descendant
UBERON:0011809,inner epidermal layer of feather follicle,descendant
UBERON:0011808,outer epidermal layer of feather follicle,descendant
UBERON:0008963,hoof,descendant
UBERON:0008201,scute,descendant
UBERON:0015484,epidermis of metapodial pad,descendant
UBERON:0007332,mandibular rhamphotheca,descendant
UBERON:0007331,maxillary rhamphotheca,descendant
UBERON:0015252,coat hair follicle,descendant
UBERON:0010419,vibrissa follicle,descendant
UBERON:0006005,hair follicle isthmus,descendant
UBERON:0005975,hair follicle bulge,descendant
UBERON:0005968,infundibulum of hair follicle,descendant
UBERON:0005932,bulb of hair follicle,descendant
UBERON:2002195,epidermal placode,descendant
UBERON:0015251,modified sebaceous gland,descendant
UBERON:0011846,acinus of sebaceous gland,descendant
UBERON:0011845,duct of sebaceous gland,descendant
UBERON:0011827,areolar gland,descendant
UBERON:0003485,vagina sebaceous gland,descendant
UBERON:0007773,scrotal sweat gland,descendant
UBERON:0015886,root of nail,descendant
UBERON:0011190,lunule of nail,descendant
UBERON:0009567,nail of pedal digit,descendant
UBERON:0009565,nail of manual digit,descendant
UBERON:0005274,proximal nail bed,descendant
UBERON:0005273,nail bed,descendant
UBERON:0004105,subungual region,descendant
UBERON:0002283,nail matrix,descendant
UBERON:0000212,toilet claw,descendant
UBERON:0037467,anagen hair,descendant
UBERON:0037466,telogen hair,descendant
UBERON:0037465,catagen hair,descendant
UBERON:0037463,terminal hair,descendant
UBERON:0037462,vellus hair,descendant
UBERON:0037461,primary hair,descendant
UBERON:0037459,hair of limb,descendant
UBERON:0037458,hair of neck,descendant
UBERON:0022285,strand of tylotrich hair,descendant
UBERON:0016447,hair of trunk,descendant
UBERON:0016446,hair of head,descendant
UBERON:0015150,dorsal hair,descendant
UBERON:0013699,strand of axillary hair,descendant
UBERON:0013698,strand of pubic hair,descendant
UBERON:0013494,keratin-coated spine,descendant
UBERON:0015149,ventral hair,descendant
UBERON:0015148,tail hair,descendant
UBERON:0011901,hair matrix,descendant
UBERON:0010514,strand of duvet hair,descendant
UBERON:0010509,strand of pelage hair,descendant
UBERON:0006378,strand of vibrissa hair,descendant
UBERON:0005184,hair medulla,descendant
UBERON:0002074,hair shaft,descendant
UBERON:0002077,cortex of hair,descendant
UBERON:0001702,eyelash,descendant
UBERON:0000329,hair root,descendant
UBERON:8480064,secretory coil of eccrine sweat gland,descendant
UBERON:0035073,duct of eccrine sweat gland,descendant
UBERON:0014391,palmar/plantar sweat gland,descendant
UBERON:0015479,scrotum skin,descendant
UBERON:0005298,skin of clitoris,descendant
UBERON:0004084,genital labium,descendant
UBERON:0015474,axilla skin,descendant
UBERON:0011782,feather follicle,descendant
UBERON:0019246,palmar skin crease,descendant
UBERON:0019247,plantar skin crease,descendant
UBERON:0006004,hair follicle matrix region,descendant
UBERON:0016919,lower vermilion,descendant
UBERON:0016918,upper vermilion,descendant
UBERON:0010854,skin of front of neck,descendant
UBERON:0001084,skin of head,descendant
