,B,CCDlike,CNT,CTAL,DCT,Endothelial,ICA,ICB,LOHlike,MNP,Mesangial,NK,PC,PEC,PT,Podocytes,T cell,VCAM1_PT,unknown
ENSG00000187634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188976,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000187608,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188157,0.0,0.0,0.7779692510763804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7796650164657168,0.7806378404299418,0.0,0.0,0.0,0.7785207231839498,0.7777777777777778
ENSG00000078808,0.0,0.0,0.8680298758877648,0.6709200243155161,0.6666666666666666,0.0,0.6675612992710538,0.0,0.0,0.0,0.0,0.0,0.6731477247344123,0.67282149526808,0.0,0.0,0.0,0.6705521444479624,0.0
ENSG00000160087,0.0,0.0,0.9477983878718482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0
ENSG00000127054,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000224051,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9725080927213033,0.0,0.9444444444444444,0.0,0.0,0.0
ENSG00000175756,0.0,0.3285670346683926,0.8283063835567899,0.5980793337027231,0.5389232370588515,0.0,0.5244961116049025,0.4551446172926161,0.22672439283794826,0.2250087691677941,0.2222222222222222,0.0,0.5338429113229116,0.3400864203770955,0.3388271629810333,0.22420810659726462,0.0,0.43039555350939435,0.341271032889684
ENSG00000221978,0.0,0.0,0.9200012915664249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.917159871922599,0.0
ENSG00000242485,0.0,0.2503403557671441,0.8123919301562839,0.5188442336188422,0.5056123799747891,0.0,0.5017608337932162,0.5071979562441508,0.25287094049983555,0.2534680962562561,0.252752552429835,0.0,0.6188605692651536,0.4061966869566176,0.25570233000649345,0.2222222222222222,0.0,0.40739363100793624,0.406409137778812
ENSG00000160075,0.0,0.0,0.8825232254134284,0.6177628967497084,0.4569205707973904,0.0,0.6132537093427446,0.4566265212164985,0.0,0.4444444444444444,0.0,0.0,0.722461375925276,0.5466462340619829,0.45316486226187813,0.0,0.0,0.5279493961069319,0.456833369202084
ENSG00000197530,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
