,T cell,club cell,glandular secretory epithelial cell,ionocyte,keratinizing barrier epithelial cell,keratinocyte,nasal mucosa goblet cell,professional antigen presenting cell,respiratory basal cell,respiratory tract epithelial cell,respiratory tract multiciliated cell
ENSG00000188290,0.0,0.0,0.0,0.0,0.9,0.0,0.949942368099516,0.0,0.0,0.0,0.0
ENSG00000175756,0.0,0.32182747883500223,0.344240229422106,0.3761965531103528,0.35893788699340756,0.0,0.3,0.0,0.3037958082701978,0.31477931222096217,0.3228311818266718
ENSG00000242485,0.0,0.4482042117589128,0.4302912213409543,0.4430883908916198,0.0,0.0,0.42004802721793755,0.0,0.4,0.40062185431797354,0.46312635493087007
ENSG00000160075,0.0,0.3969270055824056,0.34080840692715686,0.30936201930266083,0.3793170447384753,0.0,0.3437282338715427,0.0,0.3020694640816424,0.32867315349512327,0.3
ENSG00000157916,0.0,0.36403352268704203,0.3763893367244202,0.3031629702282304,0.39666784410521005,0.0,0.31743522949104463,0.0,0.3,0.3445103097743251,0.3442271874001179
ENSG00000116251,0.21900100802096273,0.14784855799975896,0.13032015097460176,0.14163094806055238,0.1,0.0,0.15287231245029892,0.26347471453324767,0.24826018026206836,0.14685051158248769,0.1273290133666433
ENSG00000171735,0.0,0.7439011622185097,0.7,0.8680581353050332,0.7484936197478158,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116288,0.2,0.2474228083582986,0.2135264455448226,0.29498124080614546,0.0,0.0,0.2393878061178067,0.31433949815578605,0.28145749075310134,0.22653488464901797,0.32447247362092624
ENSG00000074800,0.3929094903704601,0.22980160935211252,0.32981453271435984,0.39271107869051286,0.2,0.0,0.0,0.44431242604006993,0.43734524408635167,0.26012924637738327,0.2507369459520786
ENSG00000171603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000142657,0.0,0.0,0.7122651615932662,0.7539716515600119,0.7162795757972973,0.0,0.0,0.0,0.0,0.7,0.0
ENSG00000162496,0.0,0.6241563693504237,0.6,0.0,0.0,0.0,0.6002093298458208,0.0,0.6351280931323975,0.607693392350108,0.0
ENSG00000142634,0.0,0.6203457836351608,0.673779558317988,0.0,0.7975269871423317,0.0,0.6,0.0,0.0,0.6451023587642648,0.0
ENSG00000184908,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142627,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000077549,0.5331753314949743,0.32592084554093975,0.0,0.46416228707799717,0.4991988198639813,0.0,0.3498390065505828,0.62640759530207,0.41725357688483966,0.3,0.0
ENSG00000127483,0.0,0.7119792355637949,0.7,0.8775382041930044,0.0,0.0,0.0,0.0,0.7735844192568575,0.0,0.0
ENSG00000070831,0.206193738279016,0.12441532029864869,0.1285552404619895,0.24400399691350466,0.2642455717824631,0.0,0.1,0.24099369958570693,0.1286687303257789,0.10571231505573042,0.24327677327163802
ENSG00000204219,0.0,0.9,0.0,0.0,0.0,0.0,0.9515073036862767,0.0,0.0,0.0,0.0
ENSG00000142676,0.21481761409969274,0.16367443497331613,0.1343353639603247,0.13087744012949226,0.1,0.0,0.17331881231726148,0.2507959973617955,0.2584485086962867,0.16065308709230153,0.12563766993253983
ENSG00000117308,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000133226,0.23800069533540702,0.35040820642086346,0.30764788285894645,0.3521281237607855,0.2,0.0,0.2544286585939649,0.0,0.32715598326544304,0.25563233719804423,0.2760404107415847
ENSG00000117614,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
