,acinar,alpha,beta,delta,duct,endothelial,mesenchymal,pp,unclear
ENSG00000135365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105401,0.0,0.0,0.0,0.0,0.0,0.9090908765792847,0.0,0.0,0.0
ENSG00000136383,0.0,0.45454543828964233,0.45454543828964233,0.45454543828964233,0.0,0.45454543828964233,0.0,0.45454543828964233,0.0
ENSG00000170323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136942,0.476190447807312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3124999403953552
ENSG00000132464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000166148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135525,0.0,0.6818181574344635,0.6818181574344635,0.6818181574344635,0.0,0.0,0.0,0.0,0.0
ENSG00000147419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138495,0.17045453935861588,0.46370966732501984,0.46370966732501984,0.46370966732501984,0.17045453935861588,0.17045453935861588,0.0,0.46370966732501984,0.1041666716337204
ENSG00000152377,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809552192688,0.0,0.0
ENSG00000134897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000028528,0.7954545170068741,0.0,0.0,0.0,0.0,0.0,0.7954545170068741,0.0,0.0
ENSG00000116539,0.0,0.11363635957241058,0.5357142612338066,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058
ENSG00000116288,0.11363635957241058,0.5059523582458496,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.3515624552965164,0.11363635957241058,0.0
ENSG00000172534,0.0,0.0,0.0,0.0,0.0,0.7954545170068741,0.7954545170068741,0.0,0.0
ENSG00000137440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133835,0.9090908765792847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000118271,0.04098360240459442,0.9332549571990967,0.5537749230861664,0.3472222313284874,0.0,0.08802816271781921,0.0,0.6963153779506683,0.29965754598379135
ENSG00000171365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000108849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997901916503906,0.0
ENSG00000104093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115760,0.0,0.28409089893102646,0.28409089893102646,0.28409089893102646,0.28409089893102646,0.28409089893102646,0.2083333432674408,0.28409089893102646,0.0
ENSG00000120915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000084112,0.0,0.0,0.0,0.0,0.0,0.7954545170068741,0.7954545170068741,0.0,0.0
ENSG00000130338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115461,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222089767456,0.0,0.0
ENSG00000108557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000214595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000172602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000250462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000110104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173402,0.7954545170068741,0.0,0.0,0.0,0.0,0.0,0.0,0.7954545170068741,0.0
ENSG00000163681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333730697632
ENSG00000181904,0.0,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.5059523582458496,0.11363635957241058,0.11363635957241058,0.3515624552965164
ENSG00000182107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333730697632
ENSG00000101040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106366,0.0,0.0,0.0,0.0,0.0,0.8626760467886925,0.9226190745830536,0.0,0.0
ENSG00000114480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000172469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000203883,0.0,0.0,0.0,0.0,0.0,0.98591548204422,0.0,0.0,0.0
ENSG00000188175,0.0,0.0,0.0,0.9090908765792847,0.0,0.0,0.0,0.0,0.0
ENSG00000096088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000109814,0.8536585569381714,0.0,0.45454543828964233,0.0,0.0,0.0,0.45454543828964233,0.45454543828964233,0.45454543828964233
ENSG00000180879,0.0,0.0,0.0,0.7954545170068741,0.0,0.0,0.0,0.7954545170068741,0.0
ENSG00000128016,0.0,0.0,0.0,0.0,0.6818181574344635,0.6818181574344635,0.0,0.0,0.7812499850988388
ENSG00000105063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000144815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000065548,0.0,0.0,0.39772725850343704,0.39772725850343704,0.39772725850343704,0.39772725850343704,0.39772725850343704,0.3125000149011612,0.0
ENSG00000158321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000063177,0.34090907871723175,0.34090907871723175,0.34090907871723175,0.34090907871723175,0.0,0.0,0.34090907871723175,0.34090907871723175,0.0
ENSG00000134597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
