,Acinar-mix,Activated stellate cells,Alpha cells,Beta cells,Delta cells,Ductal cells,Endothelial cells,Gamma cells,Idling acinar cells,MUC5B+ ductal cells,Macrophages,Quiescent stellate cells,Secretory acinar cells,Stressed beta cells
ENSG00000121410,0.0,0.0,0.7877315099422748,0.7692307692307693,0.7727157381864694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7792373024500333
ENSG00000127837,0.0,0.0,0.9331483749242929,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006071,0.0,0.0,0.0,0.8777096638312707,0.8461538461538461,0.0,0.0,0.9073822223223172,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000146386,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9277180387423589
ENSG00000228262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000167315,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000072778,0.0,0.0,0.7771787184935349,0.6923076923076923,0.715612686597384,0.0,0.0,0.7238627626345708,0.0,0.0,0.0,0.0,0.0,0.7194174803220309
ENSG00000075239,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131473,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.954725980758667,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112304,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143727,0.0,0.0,0.8202313413986793,0.7419193020233741,0.7723724566973172,0.0,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.7200608115929824
ENSG00000107796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000075624,0.0,0.0,0.7774930596351624,0.7004995804566604,0.7529980356876667,0.0,0.0,0.7054148362233088,0.0,0.0,0.0,0.0,0.0,0.6923076923076923
ENSG00000072110,0.0,0.0,0.9258414827860318,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131966,0.0,0.0,0.8515177369117737,0.7692307692307693,0.7995146100337689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79854377416464
ENSG00000138071,0.0,0.0,0.8586837878594031,0.7796125136888944,0.7692307692307693,0.0,0.0,0.884545229948484,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115091,0.0,0.0,0.910393857038938,0.8461538461538461,0.8861643626139715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160710,0.0,0.0,0.8023071885108948,0.7692307692307693,0.777702835889963,0.0,0.0,0.8669396868118873,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000141433,0.0,0.0,0.0,0.9438155110065753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231
ENSG00000205336,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159346,0.0,0.0,0.808067615215595,0.7938132056823144,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8085769277352554
ENSG00000130706,0.0,0.0,0.8251166251989511,0.7692307692307693,0.8121391718204205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7866171415035541
ENSG00000072364,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169692,0.0,0.0,0.9472592656428998,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168710,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.9386185636887183,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135541,0.0,0.0,0.7241839720652654,0.7066008998797491,0.7401074492014371,0.0,0.0,0.7404538713968717,0.0,0.0,0.0,0.0,0.0,0.6923076923076923
ENSG00000100591,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9494673609733582
ENSG00000146416,0.0,0.0,0.9127175945502061,0.8789682480005118,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164022,0.0,0.0,0.9001543888678918,0.8461538461538461,0.8836365938186646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106992,0.0,0.0,0.9230769230769231,0.0,0.9365487557191116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004455,0.0,0.0,0.867271730533013,0.7940751360012934,0.8067811131477356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693
ENSG00000147853,0.0,0.0,0.9017495696361248,0.8461538461538461,0.8590658948971674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131016,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170776,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127914,0.8476404822789706,0.0,0.650008880175077,0.6488950114983779,0.680136488034175,0.0,0.0,0.7380749858342684,0.0,0.0,0.0,0.0,0.0,0.6153846153846154
ENSG00000174574,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117448,0.0,0.0,0.80565568116995,0.7695490580338699,0.8062459184573247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693
ENSG00000053371,0.0,0.0,0.863138116323031,0.8461538461538461,0.8666280783139743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170017,0.0,0.0,0.7764400702256423,0.7692307692307693,0.7872286347242502,0.0,0.0,0.8033427687791678,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000165092,0.0,0.0,0.8838079342475305,0.7719657329412607,0.7692307692307693,0.0,0.0,0.8884788476503812,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000149925,0.0,0.0,0.7975846162209144,0.7623594724214994,0.8265111033733075,0.0,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.7536596151498648
ENSG00000120697,0.0,0.0,0.8100424592311566,0.7692307692307693,0.779466124681326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7986341898257916
ENSG00000091542,0.0,0.0,0.8652517933111924,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8722849534108088
ENSG00000125652,0.0,0.0,0.7692307692307693,0.7713108429541955,0.7755331901403574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7961424451607925
ENSG00000243480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000240038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
