obo_id,label,level
UBERON:0001004,respiratory system,root
UBERON:3010200,vasculature of respiratory integument,descendant
UBERON:3010524,bronchial tube,descendant
UBERON:0036225,respiratory system gland,descendant
UBERON:0036071,diaphragmaticus muscle,descendant
UBERON:0015786,respiratory segment of nasal mucosa,descendant
UBERON:0015329,respiratory system basement membrane,descendant
UBERON:0014479,elephant trunk,descendant
UBERON:0014398,respiratory muscle,descendant
UBERON:0012087,air capillary of parabronchus,descendant
UBERON:0010019,spiracle (sensu Vertebrata),descendant
UBERON:0009060,air sac,descendant
UBERON:0005155,open tracheal system,descendant
UBERON:0004903,bronchoalveolar duct junction,descendant
UBERON:0004849,respiratory system venous endothelium,descendant
UBERON:0004848,respiratory system arterial endothelium,descendant
UBERON:0004807,respiratory system epithelium,descendant
UBERON:0004798,respiratory system basal lamina,descendant
UBERON:0004785,respiratory system mucosa,descendant
UBERON:0004779,respiratory system lamina propria,descendant
UBERON:0004777,respiratory system submucosa,descendant
UBERON:0004702,respiratory system blood vessel endothelium,descendant
UBERON:0004830,respiratory system skeletal muscle,descendant
UBERON:0004225,respiratory system smooth muscle,descendant
UBERON:0003831,respiratory system muscle,descendant
UBERON:0003611,respiratory system elastic tissue,descendant
UBERON:0003570,respiratory system connective tissue,descendant
UBERON:0003529,respiratory system lymphatic vessel endothelium,descendant
UBERON:0003526,respiratory system capillary,descendant
UBERON:0003495,respiratory system arteriole,descendant
UBERON:0003494,respiratory system venule,descendant
UBERON:0003456,respiratory system lymphatic vessel,descendant
UBERON:0003643,respiratory system arterial blood vessel,descendant
UBERON:0003406,cartilage of respiratory system,descendant
UBERON:0002535,gill,descendant
UBERON:0003469,respiratory system artery,descendant
UBERON:0003490,respiratory system reticular lamina,descendant
UBERON:0003489,respiratory system capillary endothelium,descendant
UBERON:0003504,respiratory system blood vessel,descendant
UBERON:0001825,paranasal sinus,descendant
UBERON:0001042,chordate pharynx,descendant
UBERON:0001005,respiratory airway,descendant
UBERON:0000977,pleura,descendant
UBERON:0000171,respiration organ,descendant
UBERON:0000065,respiratory tract,descendant
UBERON:0001103,diaphragm,descendant
UBERON:8410077,airway submucosal gland,descendant
UBERON:0019190,mucous gland of lung,descendant
UBERON:0012278,gland of nasal mucosa,descendant
UBERON:0005204,larynx submucosa gland,descendant
UBERON:0004789,larynx mucous gland,descendant
UBERON:0003295,pharyngeal gland,descendant
UBERON:0005385,nasal cavity respiratory epithelium,descendant
UBERON:0009653,trachea basement membrane,descendant
UBERON:0009652,bronchus basement membrane,descendant
UBERON:0011495,rectus thoracis muscle,descendant
UBERON:0009948,clavicular air sac,descendant
UBERON:0009062,posterior air sac,descendant
UBERON:0009061,anterior air sac,descendant
UBERON:6005054,insect spiracle,descendant
UBERON:0003127,open tracheal system trachea,descendant
UBERON:0004802,respiratory tract epithelium,descendant
UBERON:0003389,mesothelium of diaphragm,descendant
UBERON:0003351,pharyngeal epithelium,descendant
UBERON:0004799,trachea basal lamina,descendant
UBERON:0005039,mucosa of bronchiole,descendant
UBERON:0001826,nasal cavity mucosa,descendant
UBERON:0001824,mucosa of larynx,descendant
UBERON:0000410,bronchial mucosa,descendant
UBERON:0000379,tracheal mucosa,descendant
UBERON:0000355,pharyngeal mucosa,descendant
UBERON:0000031,lamina propria of trachea,descendant
UBERON:0004952,submucosa of bronchiole,descendant
UBERON:0004924,submucosa of pharynx,descendant
UBERON:0004778,larynx submucosa,descendant
