cluster_name,skos,manual_mapped_cid,cell_ontology_id
AntiB,,,CL:0000786
C-Hepato,,,CL:0019029
C-Hepato2,,,CL:0019029
CD4T,,,CL:0000624
Chol,,,CL:0002538
Chol--Stellate-Doublet,,,unknown
Chol-Doublet,,,unknown
CholMucus,,,CL:0002538
Fibroblast,,,CL:0000057
Hepato-Doublet,,,unknown
I-Hepato,,,CL:0019028
Kupffer,,,CL:0000091
Kupffer-Doublet,,,unknown
Monocyte,,,CL:0000576
P-Hepato,,,CL:0019026
P-Hepato2,,,CL:0019026
Prolif,,,unknown
Stellate,,,CL:0000632
Stellate-Doublet,,,unknown
Tcell-Doublet,,,unknown
VSMC,,,CL:0000359
aStellate,,,CL:0000632
cvEndo,,,CL:0002543
cvLSEC,,,CL:0019022
cvLSEC--Mac,,,unknown
cvLSEC-Doublet,,,unknown
lrNK,,,CL:2000054
ppLSEC,,,CL:0019021
