cluster_name,skos,manual_mapped_cid,cell_ontology_id
B cell,,,CL:0000236
CD14-positive monocyte,,,CL:0001054
"CD14-positive, CD16-positive monocyte",,,CL:0002397
"CD4-positive, alpha-beta cytotoxic T cell",,,CL:0000934
"CD8-positive, alpha-beta cytotoxic T cell",,,CL:0000794
"activated CD4-positive, alpha-beta T cell",,,CL:0000896
"activated CD8-positive, alpha-beta T cell",,,CL:0000906
capillary endothelial cell,,,CL:0002144
dendritic cell,,,CL:0000451
endothelial cell,,,CL:0000115
endothelial cell of artery,,,CL:1000413
endothelial cell of lymphatic vessel,,,CL:0002138
epicardial adipocyte,,,CL:1000309
fibroblast,,,CL:0000057
macrophage,,,CL:0000235
mast cell,,,CL:0000097
mature NK T cell,,,CL:0000814
mesothelial cell,,,CL:0000077
monocyte,,,CL:0000576
natural killer cell,,,CL:0000623
neural cell,,,CL:0002319
pericyte,,,CL:0000669
regular atrial cardiac myocyte,,,CL:0002129
regular ventricular cardiac myocyte,,,CL:0002131
smooth muscle cell,,,CL:0000192
unknown,,,unknown
vein endothelial cell,,,CL:0002543
