,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),CB CD34+,Dendritic cell,Erythroid cell,Erythroid progenitor cell (RP high),Macrophage,Monocyte,Neutrophil,Neutrophil (RPS high),T cell
HLA-DQA1,0.0,0.0,0.0,0.0,2.3684235,0.0,0.0,1.3025038,0.0,0.0,0.0,0.0
RPL13A,3.1451097,3.7087069,2.63332,3.7311163,3.4594922,3.1830988,3.4484203,2.9240828,3.2461548,3.040721,3.6928272,3.1709895
NDUFB9,0.0,0.0,0.0,0.0,0.0,2.3038993,2.4523587,0.0,0.0,0.0,0.0,0.0
RPL7,3.5491512,3.8139052,2.5982695,3.9998612,3.3168077,3.5482767,3.896534,3.0756264,3.2461548,3.2898855,4.1857443,3.6665468
CD52,0.0,2.215259,0.0,0.0,0.0,0.0,0.0,0.0,2.5866365,0.0,0.0,3.1864293
DUT,0.0,0.0,0.0,1.5480586,0.0,0.0,1.5178756,0.0,0.0,0.0,0.0,0.0
LAPTM5,0.0,1.9907694,0.0,0.0,0.0,0.0,0.0,1.208604,2.879576,0.0,0.0,0.0
NDUFB11,0.0,0.0,0.0,1.812902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYL12A,2.4218729,0.0,0.0,0.0,2.8227344,0.0,0.0,0.0,0.0,0.0,0.0,2.665072
SPCS2,0.0,0.0,1.7812421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNASET2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1582634,0.0,0.0,0.0,0.0
H2AZ1,3.0657198,3.691566,0.0,3.204398,3.1886563,3.0894213,3.473518,1.208604,0.0,2.766516,3.1052332,3.547512
TRMT112,0.0,0.0,0.0,1.8154814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBA52,2.8362303,3.0601392,2.0489795,2.4209378,3.0247393,2.6763403,2.8693242,2.9240828,3.003556,2.7097318,2.9176528,2.9801917
HBA1,0.0,0.0,0.0,0.0,0.0,5.578066,0.0,0.0,0.0,0.0,0.0,0.0
RPL30,3.1622815,3.3241491,2.5250044,3.3305666,3.2525046,3.0040114,3.2250404,3.6521819,3.023808,3.1611989,3.6278026,3.298006
ITM2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4787081,2.0622213,0.0,0.0,0.0
CD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1951785
SH3BGRL3,3.3397079,2.127451,0.0,2.3701801,3.0696275,0.0,0.0,1.208604,3.9400303,1.5574541,0.0,3.2605035
HLA-B,3.1096535,2.8725247,3.02195,2.1287868,3.0696275,0.0,0.0,4.028515,3.8035388,3.0560234,1.8774972,2.8302066
SPINK2,0.0,0.0,0.0,2.1838264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UQCR10,0.0,0.0,0.0,0.0,2.5137157,2.0715842,2.3067355,0.0,0.0,0.0,0.0,2.110411
COX5A,0.0,0.0,0.0,2.0468006,0.0,0.0,2.0700486,0.0,0.0,0.0,0.0,0.0
SOD1,0.0,0.0,0.0,2.3510587,0.0,2.0640225,2.299441,0.0,0.0,0.0,0.0,1.7018903
ANAPC11,0.0,0.0,0.0,1.8154814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSPO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.879576,2.6375265,0.0,0.0
RPL26,3.126168,3.6458778,2.1571913,3.300393,3.1096535,2.9229648,3.3904967,3.1582634,3.1324384,3.0598898,3.6828535,2.9855301
RPS27A,3.7332869,3.988206,2.8953462,4.1541204,3.6866395,3.9257183,4.203708,3.310241,3.1797805,3.4481254,4.2810936,3.872062
RPS27L,0.0,0.0,0.0,0.0,0.0,0.0,1.7111182,0.0,0.0,0.0,0.0,0.0
SERF2,3.3087335,3.0716405,2.6244063,3.0864246,3.1786768,2.8923573,3.126168,0.0,3.2799878,3.1429856,3.08344,2.887543
NOP10,0.0,0.0,0.0,0.0,0.0,0.0,2.2635298,0.0,0.0,0.0,0.0,0.0
ENSG00000211592,0.0,0.0,7.779805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL12,2.6429663,3.0592444,0.0,3.110677,2.37902,2.6900992,2.9913492,0.0,2.7977884,2.615516,3.186432,2.5620005
RPS3,3.367682,3.8489661,2.6196957,4.0875506,3.5701644,3.7077363,3.9457405,2.511108,3.0657198,3.2824523,4.1253805,3.633764
NAA38,0.0,0.0,0.0,2.19085,0.0,0.0,1.5827801,0.0,0.0,0.0,0.0,0.0
CD74,3.3923461,3.4904952,0.0,2.8138494,5.470002,0.0,0.0,5.1727257,3.8840153,0.0,0.0,0.0
