,B cell,B cell (Plasmocyte),Basal cell,CB CD34+,Dendritic cell,Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte,Enterocyte progenitor,Epithelial cell,Epithelial cell (intermediated),Fetal Neuron,Fetal endocrine cell,Fetal enterocyte,Fetal epithelial progenitor,Fetal mesenchymal progenitor,Fetal neuron,Fetal stromal cell,Fibroblast,Gastric chief cell,Gastric endocrine cell,Goblet cell,Hepatocyte/Endodermal cell,M2 Macrophage,Macrophage,Mast cell,Monocyte,Neutrophil,Primordial germ cell,Smooth muscle cell,Stratified epithelial cell,Stromal cell,T cell
ENSG00000196735,0.0,0.0,0.0,0.0,0.9837697220571113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142541,0.7575757575757576,0.0,0.7810135086377462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7706892201394746,0.0,0.7650779937252854,0.0,0.0,0.7774763594974171,0.0,0.0,0.0,0.7587263042276556,0.7668069167570635,0.7694519704038446,0.0,0.0,0.0,0.0,0.0,0.0,0.7935765403689761,0.0,0.0,0.0,0.0
ENSG00000147684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000189377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000147604,0.6817626898938959,0.0,0.7298634052276611,0.6666666666666666,0.6810690598054365,0.0,0.0,0.0,0.0,0.0,0.0,0.7018930008917144,0.0,0.6924165938839768,0.0,0.0,0.0,0.0,0.0,0.0,0.6868237925298286,0.7286106167417584,0.6967796159513069,0.0,0.6828409469488895,0.0,0.0,0.0,0.0,0.7206757628556454,0.0,0.6829115369103171,0.0,0.0
ENSG00000169442,0.9837114937377699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000084234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000149925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9645123030200149,0.9393939393939394,0.0,0.0,0.0,0.0,0.0,0.9547472794850668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162511,0.8672251231742628,0.0,0.0,0.0,0.8592898412184282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8484848484848485,0.867662894003319,0.0,0.8715565981286945,0.8847328460577762,0.0,0.0,0.0,0.0,0.0
ENSG00000147123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000064300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000109099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
