,Endothelial cell (lymphatic),Endothelial cell (vascular),Epithelial cell (alveolar type I),Epithelial cell (alveolar type II),Epithelial cell (basal),Epithelial cell (ciliated),Epithelial cell (club),Fibroblast,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (alveolar macrophage),Immune (mast cell),Pericyte/SMC
ENSG00000142599,0.0,0.0,0.7142857142857143,0.7238315897328513,0.7246432474681309,0.7287014084202903,0.7706156160150256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142621,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075151,0.0,0.0,0.0,0.0,0.0,0.9522694477013179,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0
ENSG00000119535,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127603,0.6279286018439701,0.6033380287034171,0.5927414468356541,0.6218036668641227,0.0,0.5976895349366325,0.5714285714285714,0.7425757305962699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186409,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186094,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185104,0.8175645002296993,0.0,0.0,0.7857142857142857,0.8511892173971448,0.0,0.7895345432417733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162599,0.6762597603457314,0.0,0.0,0.5714285714285714,0.5871177528585706,0.6306787260941097,0.6305314600467682,0.576471175466265,0.0,0.0,0.0,0.0,0.0,0.0,0.5926241108349392
ENSG00000132849,0.0,0.0,0.7641043492725917,0.719393083027431,0.7573024119649615,0.7142857142857143,0.7281924443585532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185483,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158966,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000152763,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
