,act_CD4,act_CD8,act_unassigned,rest_CD4,rest_CD8,rest_unassigned
ENSG00000100911,1.0153953,0.8694572,0.0,0.0,0.0,0.0
ENSG00000172183,0.25905025,0.0,0.0,0.6877657,0.0,0.0
ENSG00000143933,0.9690697,0.9924309,0.9226592,0.7739012,0.90853167,0.0
ENSG00000116560,0.40827057,0.0,0.0,0.0,0.0,0.0
ENSG00000150459,0.6237552,0.6931472,0.0,0.0,0.0,0.0
ENSG00000171476,0.0,0.8778019,0.0,0.0,0.0,0.0
ENSG00000105701,0.0,0.3469821,0.0,0.0,0.0,0.0
ENSG00000137818,3.6575708,3.4827366,3.6296656,3.6864185,3.5340629,3.5850754
ENSG00000111229,0.8186091,0.9582872,0.0,0.7085235,0.8598938,0.0
ENSG00000154723,0.6913923,0.75170124,0.0,0.0,0.0,0.0
ENSG00000092199,0.6280276,0.55236125,0.0,0.0,0.0,0.0
ENSG00000180879,0.7522226,0.8772402,0.0,0.5873703,0.70563865,0.0
ENSG00000125347,0.6306684,0.0,0.0,0.0,0.0,0.0
ENSG00000025708,0.45446682,0.60112464,0.0,0.0,0.0,0.0
ENSG00000173660,0.7662294,0.7385739,0.0,0.0,0.0,0.0
ENSG00000122862,1.3449209,1.5136912,0.96923923,0.8271502,1.0644324,0.0
ENSG00000125870,0.564242,0.47482622,0.0,0.0,0.0,0.0
ENSG00000164587,2.932078,2.7054539,3.0164397,3.1387043,2.9238753,3.080121
ENSG00000225067,0.5294837,0.0,0.808776,0.72487116,0.0,0.0
ENSG00000130255,2.6611602,2.3230016,2.6342335,2.7016764,2.3409204,2.6187916
ENSG00000115165,0.74858904,0.90414834,0.0,0.0,0.0,0.0
ENSG00000077549,0.0,0.3172685,0.0,0.0,0.0,0.0
ENSG00000169627,0.8860729,0.9593538,0.0,0.0,0.0,0.0
ENSG00000080824,1.038506,0.9338886,0.0,0.0,0.0,0.0
ENSG00000120742,0.71652055,0.6921224,0.0,0.4149285,0.0,0.0
ENSG00000155368,0.6927076,0.76822317,0.0,0.0,0.0,0.0
ENSG00000163041,1.1043537,1.0939422,0.89822185,0.9762702,1.058089,0.9243721
ENSG00000189343,0.5293995,0.0,0.79374695,0.0,0.0,0.0
ENSG00000104529,1.4339238,1.3109173,1.5208243,1.7767367,1.5159916,1.5987327
ENSG00000121966,0.0,0.0,0.0,0.83228076,0.9336138,0.0
ENSG00000198668,0.97930443,1.095494,0.87340814,0.9308752,1.0366082,0.0
ENSG00000247774,0.5938457,0.0,0.0,0.0,0.0,0.0
ENSG00000174748,2.6234727,2.4271958,2.7297401,2.686646,2.4681935,2.6187916
ENSG00000137876,0.8447366,0.8619739,0.7675767,0.0,0.0,0.0
ENSG00000158710,0.52647173,0.5538951,0.0,0.0,0.0,0.0
ENSG00000135940,0.7004102,0.78060645,0.0,0.0,0.57734716,0.0
ENSG00000188243,0.74610144,0.77132607,1.0232284,0.9603744,0.9294216,0.0
ENSG00000096384,1.1949147,1.0668095,0.83986723,0.0,0.0,0.0
ENSG00000146386,0.33410954,0.0,0.0,0.0,0.0,0.0
