cluster_name,skos,manual_mapped_cid,cell_ontology_id
AT2 cell,,,CL:0002063
Antigen presenting cell (RPS high),,,CL:0000145
B cell,,,CL:0000236
B cell (Plasmocyte),,,CL:0000786
Basal cell,,,CL:0000646
CB CD34+,,,CL:2000095
Chondrocyte,,,CL:0000138
Dendritic cell,,,CL:0000451
Endothelial cell,,,CL:0000115
Endothelial cell (APC),,,CL:0000115
Endothelial cell (endothelial to mesenchymal transition),,,CL:0000115
Epithelial cell,,,CL:0000066
Fetal chondrocyte,,,CL:0000138
Fetal epithelial progenitor,,,CL:0000066
Fetal mesenchymal progenitor,,,CL:0000134
Fetal stromal cell,,,CL:0000499
Fibroblast,,,CL:0000057
M2 Macrophage,,,CL:0000890
Macrophage,,,CL:0000235
Mast cell,,,CL:0000097
Mesothelial cell,,,CL:0000077
Monocyte,,,CL:0000576
Neutrophil,,,CL:0000775
Neutrophil (RPS high),,,CL:0000775
Sinusoidal endothelial cell,,,CL:0000066
Smooth muscle cell,,,CL:0000192
Stratified epithelial cell,,,CL:0000079
Stromal cell,,,CL:0000499
T cell,,,CL:0000084
Thyroid follicular cell,,,CL:0002258
