gene_ids,T cell of anorectum,colon epithelial cell,myeloid cell,plasma cell,stromal cell of lamina propria of colon
ENSG00000163359,0.0,0.0,0.0,0.0,1.0
ENSG00000172428,0.0,0.0,0.0,0.75,0.75
ENSG00000115677,0.0,0.0,0.0,0.75,0.75
ENSG00000168385,0.0,0.0,0.0,0.0,1.0
ENSG00000254999,0.5,0.0,0.0,0.5,0.5
ENSG00000144713,0.3529411852359772,0.0,0.1875,0.620689645409584,0.3529411852359772
ENSG00000170860,0.0,0.0,0.0,1.0,0.0
ENSG00000206560,0.0,0.0,0.0,1.0,0.0
ENSG00000174748,0.3499999940395355,0.0,0.20000000298023224,0.71875,0.38636361062526703
ENSG00000144674,0.0,0.0,0.0,1.0,0.0
ENSG00000168028,0.45000000298023224,0.0,0.25,0.6944444477558136,0.375
ENSG00000114784,0.0,0.0,0.0,0.0,1.0
ENSG00000188846,0.3125,0.0,0.20000000298023224,0.65625,0.3125
ENSG00000011198,0.0,0.0,0.0,0.0,1.0
ENSG00000232112,0.3333333134651184,0.0,0.0,0.3333333134651184,0.3333333134651184
ENSG00000067560,0.25,0.0,0.25,0.25,0.625
ENSG00000114353,0.0,0.0,0.0,0.0,1.0
ENSG00000145050,0.0,0.0,0.0,1.0,0.0
ENSG00000162244,0.3055555522441864,0.0,0.0625,0.6625000089406967,0.3863636404275894
ENSG00000114902,0.5,0.0,0.0,0.9375,0.5
ENSG00000113811,0.375,0.0,0.375,0.7500000149011612,0.25
ENSG00000168374,0.0,0.0,0.0,0.75,0.75
ENSG00000198643,0.0,1.0,0.0,0.0,0.0
ENSG00000144746,0.75,0.0,0.0,0.0,0.75
ENSG00000080822,1.0,0.0,0.0,0.0,0.0
ENSG00000168386,0.0,0.0,0.0,0.0,1.0
ENSG00000114391,0.2916666567325592,0.0,0.1875,0.6428571343421936,0.4444444477558136
ENSG00000144802,0.0,0.0,0.0,0.0,1.0
ENSG00000153283,1.0,0.0,0.0,0.0,0.0
ENSG00000091986,0.0,0.0,0.0,0.0,1.0
ENSG00000181722,0.0,0.0,0.0,0.0,1.0
ENSG00000138495,0.0,0.0,0.0,1.0,0.0
ENSG00000163430,0.0,0.0,0.0,0.0,1.0
ENSG00000065518,0.0,0.0,0.0,0.875,0.75
ENSG00000173230,0.0,0.0,0.0,0.75,0.75
ENSG00000145088,0.0,0.0,0.0,1.0,0.0
ENSG00000163902,0.0,0.0,0.0,1.0,0.0
ENSG00000169714,0.5,0.0,0.0,0.5,0.5
ENSG00000144867,0.0,0.0,0.0,1.0,0.0
ENSG00000114115,0.0,0.0,0.0,0.0,1.0
ENSG00000177311,0.0,0.0,0.0,1.0,0.0
ENSG00000114125,0.0,0.0,0.0,0.0,1.0
ENSG00000188313,0.0,0.0,0.0,0.0,1.0
ENSG00000169908,0.0,0.0,0.0,0.0,1.0
ENSG00000120742,0.0,0.0,0.0,1.0,0.0
ENSG00000144895,0.0,0.0,0.0,1.0,0.0
ENSG00000198843,0.0,0.0,0.0,1.0,0.0
ENSG00000152601,1.0,0.0,0.0,0.0,0.0
ENSG00000114850,0.0,0.0,0.0,1.0,0.0
ENSG00000163660,0.0,0.0,0.0,0.75,0.9166666567325592
ENSG00000008952,0.25,0.0,0.25,0.75,0.5
ENSG00000163584,0.0,0.0,0.0,1.0,0.0
ENSG00000121858,0.0,0.0,0.0,0.0,1.0
ENSG00000161203,0.0,0.0,0.0,0.0,1.0
ENSG00000136527,0.0,0.0,0.0,0.0,1.0
ENSG00000156976,0.5,0.0,0.0,0.625,0.625
ENSG00000145012,0.0,0.0,0.0,0.0,1.0
ENSG00000114315,0.0,0.0,0.0,0.0,1.0
ENSG00000182899,0.29999999701976776,0.0,0.1666666567325592,0.6630434840917587,0.4038461595773697
ENSG00000169020,0.0,0.0,0.0,0.5,0.0
ENSG00000163956,0.0,0.0,0.0,0.75,0.75
ENSG00000179010,0.0,0.0,0.0,0.0,1.0
ENSG00000002549,0.0,0.0,0.0,0.0,1.0
ENSG00000109610,0.0,0.0,0.0,0.0,1.0
ENSG00000163682,0.3499999940395355,0.0,0.20000000298023224,0.6176470369100571,0.3499999940395355
ENSG00000168421,0.75,0.0,0.0,0.75,0.0
ENSG00000109180,0.0,0.0,0.0,0.0,1.0
ENSG00000134853,0.0,0.0,0.0,0.0,1.0
ENSG00000174780,0.0,0.0,0.0,1.0,0.0
ENSG00000163453,0.0,0.0,0.0,0.0,1.0
ENSG00000132465,0.0,0.0,0.0,1.0,0.0
ENSG00000138757,1.0,0.0,0.0,0.0,0.0
ENSG00000118816,0.5,0.0,0.0,0.5,0.5
ENSG00000152795,0.5,0.0,0.0,0.5,0.5
ENSG00000152583,0.0,0.0,0.0,0.0,1.0
ENSG00000197894,0.0,0.0,0.0,0.0,1.0
ENSG00000196616,0.0,0.0,0.0,0.0,1.0
ENSG00000164032,0.25,0.0,0.25,0.25,0.625
ENSG00000109332,0.5,0.0,0.0,0.5,0.5
ENSG00000145354,0.0,0.0,0.0,1.0,0.0
ENSG00000109475,0.2647058814764023,0.0,0.19230769574642181,0.6527777910232544,0.2647058814764023
ENSG00000198856,0.0,0.0,0.0,0.875,0.75
ENSG00000269893,0.5,0.0,0.0,0.5,0.5
ENSG00000164096,0.5,0.0,0.0,0.5,0.5
ENSG00000164111,0.0,0.0,0.5,0.5,0.75
ENSG00000164056,0.0,0.0,0.0,0.0,1.0
ENSG00000109390,0.0,0.0,0.0,0.0,1.0
ENSG00000145425,0.3499999940395355,0.0,0.1785714328289032,0.625,0.3499999940395355
ENSG00000129128,0.0,0.0,0.0,1.0,0.0
ENSG00000154553,0.0,0.0,0.0,0.0,1.0
ENSG00000145494,0.0,0.0,0.0,0.75,0.75
ENSG00000113387,0.5,0.0,0.25,0.8571428656578064,0.25
ENSG00000168685,1.0,0.0,0.0,0.0,0.0
ENSG00000082074,1.0,0.0,0.0,0.0,0.0
ENSG00000153071,0.0,0.0,0.0,0.0,1.0
ENSG00000145592,0.303571417927742,0.0,0.15625,0.5652173906564713,0.3333333283662796
ENSG00000250722,0.0,0.0,0.0,0.0,1.0
ENSG00000067113,0.0,0.0,0.0,0.0,1.0
ENSG00000134352,0.0,0.0,0.0,0.0,1.0
ENSG00000062194,0.5,0.0,0.0,0.5,0.5
ENSG00000145741,0.4166666567325592,0.0,0.25,0.5625,0.4166666567325592
ENSG00000164346,0.0,0.0,0.0,0.75,0.75
ENSG00000171530,0.0,0.0,0.0,0.75,0.75
ENSG00000186468,0.3035714328289032,0.0,0.1944444477558136,0.6379310339689255,0.38235293328762054
ENSG00000038427,0.0,0.0,0.0,0.0,1.0
ENSG00000145681,0.0,0.0,0.0,0.0,1.0
ENSG00000164176,0.0,0.0,0.0,0.0,1.0
ENSG00000127184,0.25,0.0,0.0,0.5,0.6000000089406967
ENSG00000081189,0.0,0.0,0.0,1.0,0.0
ENSG00000129625,0.0,0.0,0.0,0.875,0.75
ENSG00000169567,0.625,0.0,0.0,0.8125,0.5
ENSG00000158985,1.0,0.0,0.0,0.0,0.0
ENSG00000125347,0.0,0.0,0.0,0.75,0.9500000029802322
ENSG00000164405,0.0,0.5,0.0,0.75,0.5
ENSG00000113558,0.25,0.0,0.25,0.25,0.7499999701976776
ENSG00000145833,0.0,0.0,0.0,0.0,1.0
ENSG00000113621,0.0,0.0,0.0,1.0,0.0
ENSG00000145824,0.0,0.0,0.0,0.0,1.0
ENSG00000120738,0.0,0.0,0.0,0.0,1.0
ENSG00000120727,0.0,0.0,0.0,1.0,0.0
ENSG00000170476,0.0,0.0,0.0,1.0,0.0
ENSG00000131495,0.0,0.0,0.0,0.75,0.75
ENSG00000019582,0.5,0.0,0.5,0.875,0.0
ENSG00000164587,0.38235294818878174,0.0,0.15625,0.7307692319154739,0.303571417927742
ENSG00000211445,0.0,0.0,0.0,0.0,1.0
ENSG00000113140,0.0,0.0,0.0,0.0,1.0
ENSG00000177556,0.0,0.0,0.0,0.75,0.75
ENSG00000181163,0.4166666567325592,0.0,0.25,0.5625,0.4166666567325592
ENSG00000120129,0.0,0.0,0.0,0.75,0.9166666567325592
ENSG00000113732,0.25,0.0,0.25,0.25,0.25
ENSG00000146066,0.0,0.0,0.0,0.75,0.75
ENSG00000169223,0.0,0.0,0.0,1.0,0.0
ENSG00000184840,0.0,0.0,0.0,0.875,0.75
ENSG00000169045,0.0,0.0,0.0,0.75,0.75
ENSG00000127022,0.0,0.0,0.0,1.0,0.0
ENSG00000161011,0.0,0.0,0.0,0.75,0.75
ENSG00000204628,0.29999999701976776,0.0,0.1666666567325592,0.6666666865348816,0.428571417927742
ENSG00000021355,0.0,0.0,1.0,0.0,0.0
ENSG00000124570,0.0,0.0,0.0,0.0,1.0
ENSG00000111843,0.0,0.0,0.0,0.0,1.0
ENSG00000112149,0.0,0.0,1.0,0.0,0.0
ENSG00000124766,0.0,0.0,0.0,0.0,1.0
ENSG00000197061,0.625,0.25,0.0,0.25,0.25
ENSG00000186470,0.0,0.0,0.0,1.0,0.0
ENSG00000206503,0.5625,0.0,0.0,0.25,0.416666641831398
ENSG00000204592,0.4166666567325592,0.0,0.25,0.5,0.5999999940395355
ENSG00000204569,0.0,0.0,0.0,0.75,0.75
ENSG00000196230,0.0,0.0,0.0,0.0,1.0
ENSG00000137331,0.0,0.0,0.0,0.0,1.0
ENSG00000204525,0.3749999850988388,0.0,0.125,0.7500000149011612,0.3749999850988388
ENSG00000234745,0.5,0.0,0.0833333283662796,0.5999999940395355,0.3214285671710968
ENSG00000213722,0.0,0.0,0.0,0.0,1.0
ENSG00000213719,0.25,0.0,0.25,0.25,0.0
ENSG00000204389,0.0,0.0,0.0,0.0,1.0
ENSG00000204388,0.0,0.0,0.0,0.0,1.0
ENSG00000204387,0.0,0.0,0.0,0.0,1.0
ENSG00000168477,0.0,0.0,0.0,0.0,1.0
ENSG00000213654,1.0,0.0,0.0,0.0,0.0
ENSG00000204287,0.0,0.0,1.0,0.0,0.0
ENSG00000204264,0.0,0.0,0.0,0.0,1.0
ENSG00000240065,1.0,0.0,0.0,0.0,0.0
ENSG00000204256,0.0,0.0,0.0,0.75,0.75
ENSG00000231389,0.0,0.0,1.0,0.0,0.0
ENSG00000223865,0.0,0.0,1.0,0.0,0.0
ENSG00000231500,0.3799999952316284,0.0,0.0833333283662796,0.6702127754688263,0.3295454680919647
ENSG00000231925,0.0,0.0,0.0,1.0,0.0
ENSG00000112514,0.0,0.0,0.0,0.875,0.75
ENSG00000124614,0.5833333134651184,0.0,0.25,0.6875,0.25
ENSG00000198755,0.3928571492433548,0.0,0.125,0.625,0.4375
ENSG00000112081,0.25,0.0,0.25,0.25,0.7499999701976776
ENSG00000124762,0.0,0.0,0.0,0.0,1.0
ENSG00000096384,0.25,0.0,0.25,0.4166666567325592,0.7083333134651184
ENSG00000151914,0.0,0.0,0.0,0.0,1.0
ENSG00000156508,0.375,0.0,0.20454545319080353,0.6499999910593033,0.4354838728904724
ENSG00000112695,0.0,0.0,0.0,0.6666666269302368,0.0
ENSG00000118418,0.0,0.0,0.0,0.75,0.75
ENSG00000146278,0.5,0.0,0.0,0.5,0.5
ENSG00000198833,0.0,0.0,0.0,1.0,0.0
ENSG00000132424,0.5,0.0,0.0,0.625,0.625
ENSG00000057657,0.0,0.0,0.0,1.0,0.0
ENSG00000135535,0.0,0.0,0.0,1.0,0.0
ENSG00000010810,1.0,0.0,0.0,0.0,0.0
ENSG00000112769,0.0,0.0,0.0,0.0,1.0
ENSG00000277443,0.0,0.0,0.0,0.0,1.0
ENSG00000111832,0.0,0.0,0.0,0.75,0.75
ENSG00000079819,0.0,0.0,0.0,0.0,1.0
ENSG00000112306,0.33695651590824127,0.0,0.15909090638160706,0.5227272659540176,0.3700000047683716
ENSG00000118526,0.0,0.0,0.0,0.0,1.0
ENSG00000029363,0.0,0.0,0.0,0.0,1.0
ENSG00000118503,1.0,0.0,0.0,0.0,0.0
ENSG00000146386,1.0,0.0,0.0,0.0,0.0
ENSG00000169976,0.0,0.0,0.0,0.75,0.75
ENSG00000146425,0.0,0.0,0.0,0.0,1.0
ENSG00000164674,1.0,0.0,0.0,0.0,0.0
ENSG00000092820,0.5,0.5,0.0,0.75,0.0
ENSG00000008018,0.5,0.0,0.0,0.75,0.5
ENSG00000075624,0.5,0.0,0.25,0.0,0.5
ENSG00000136238,0.0,0.0,0.0,0.0,1.0
ENSG00000189043,0.25,0.0,0.25,0.5833333134651184,0.5833333134651184
ENSG00000106541,0.0,1.0,0.0,0.0,0.0
ENSG00000196683,0.4166666567325592,0.0,0.25,0.5625,0.4166666567325592
ENSG00000164548,0.0,0.0,0.0,0.0,1.0
ENSG00000172115,0.0,0.0,0.0,0.5,0.0
ENSG00000122566,0.25,0.0,0.0,0.25,0.625
ENSG00000106052,0.0,0.0,0.0,0.0,1.0
ENSG00000106355,0.0,0.0,0.0,1.0,0.0
ENSG00000122545,0.75,0.0,0.0,0.0,0.875
ENSG00000106624,0.0,0.0,0.0,0.0,1.0
ENSG00000158604,0.0,0.0,0.0,1.0,0.0
ENSG00000196262,0.5,0.0,0.25,0.25,0.666666641831398
ENSG00000132432,0.0,0.0,0.0,0.9375,0.75
ENSG00000106153,0.375,0.0,0.25,0.375,0.375
ENSG00000071462,0.0,0.0,0.0,1.0,0.0
ENSG00000189143,0.0,1.0,0.0,0.0,0.0
ENSG00000106211,0.0,0.0,0.0,0.0,1.0
ENSG00000075142,0.0,0.0,0.0,0.0,1.0
ENSG00000127914,0.0,0.5,0.0,0.5,0.5
ENSG00000234545,0.0,0.0,0.0,0.0,1.0
ENSG00000127920,0.0,0.0,0.0,0.0,1.0
ENSG00000164692,0.0,0.0,0.0,0.0,1.0
ENSG00000127922,0.0,0.0,0.0,0.75,0.75
ENSG00000241468,0.0,0.0,0.0,0.75,0.75
ENSG00000168090,0.0,0.0,0.0,0.0,1.0
ENSG00000188186,0.0,0.0,0.5,0.5,0.5
ENSG00000106333,0.0,0.0,0.0,0.0,1.0
ENSG00000205277,0.0,1.0,0.0,0.0,0.0
ENSG00000214253,0.0,0.0,0.0,0.75,0.75
ENSG00000005483,0.5,0.0,0.0,0.5,0.5
ENSG00000105835,0.0,0.0,0.0,0.0,1.0
ENSG00000091136,0.0,0.0,0.0,0.0,1.0
ENSG00000128590,0.0,0.0,0.0,1.0,0.0
ENSG00000006652,0.0,0.0,0.0,0.0,1.0
ENSG00000128595,0.0,0.0,0.0,0.0,1.0
ENSG00000128524,0.0,0.0,1.0,0.0,0.0
ENSG00000122786,0.0,0.0,0.0,0.0,1.0
ENSG00000105894,0.0,0.0,0.0,0.0,1.0
ENSG00000105939,0.0,0.0,0.0,0.0,1.0
ENSG00000090266,0.25,0.0,0.25,0.25,0.25
ENSG00000106028,0.0,0.0,0.0,0.75,0.75
ENSG00000211751,1.0,0.0,0.0,0.0,0.0
ENSG00000211772,1.0,0.0,0.0,0.0,0.0
ENSG00000197448,1.0,0.0,0.0,0.0,0.0
ENSG00000155660,0.0,0.0,0.0,1.0,0.0
ENSG00000106538,0.0,0.0,0.0,0.0,1.0
ENSG00000106565,0.0,0.0,0.0,0.0,1.0
ENSG00000002933,0.0,0.0,0.0,0.0,1.0
ENSG00000105993,0.75,0.0,0.0,0.0,0.75
ENSG00000169100,0.25,0.0,0.25,0.75,0.5
ENSG00000002586,0.75,0.0,0.0,0.0,0.75
ENSG00000205542,0.7107842862606049,0.0,0.2976190447807312,0.17307692766189575,0.2976190447807312
ENSG00000173674,0.0,0.0,0.0,1.0,0.0
ENSG00000123131,0.0,0.0,0.0,1.0,0.0
ENSG00000130066,0.0,0.125,0.5625,0.125,0.125
ENSG00000215301,0.25,0.0,0.25,0.25,0.625
ENSG00000147123,0.0,0.0,0.0,0.875,0.75
ENSG00000102265,0.0,0.0,0.0,0.75,0.75
