gene_ids,T cell of anorectum,colon epithelial cell,myeloid cell,plasma cell,stromal cell of lamina propria of colon
ENSG00000187608,1.0,0.0,0.0,0.0,0.0
ENSG00000242485,0.0,0.0,0.0,1.0,0.0
ENSG00000116251,5.0,1.0,4.0,9.0,7.0
ENSG00000116288,1.0,0.0,0.0,1.0,2.0
ENSG00000074800,1.0,0.0,0.0,0.0,1.0
ENSG00000077549,1.0,0.0,0.0,0.0,1.0
ENSG00000173436,0.0,0.0,0.0,0.0,1.0
ENSG00000244038,0.0,0.0,0.0,2.0,0.0
ENSG00000070831,1.0,0.0,1.0,1.0,1.0
ENSG00000125944,0.0,0.0,0.0,0.0,1.0
ENSG00000117318,0.0,0.0,0.0,0.0,5.0
ENSG00000142676,15.0,3.0,10.0,28.0,15.0
ENSG00000189266,0.0,0.0,0.0,0.0,1.0
ENSG00000188529,0.0,0.0,0.0,0.0,1.0
ENSG00000133226,1.0,0.0,0.0,1.0,1.0
ENSG00000020633,1.0,0.0,0.0,0.0,0.0
ENSG00000117614,0.0,0.0,0.0,0.0,1.0
ENSG00000117616,1.0,1.0,0.0,1.0,2.0
ENSG00000183726,0.0,0.0,0.0,0.0,1.0
ENSG00000142669,4.0,1.0,2.0,1.0,1.0
ENSG00000169442,4.0,0.0,0.0,0.0,0.0
ENSG00000198830,0.0,0.0,0.0,1.0,1.0
ENSG00000090273,0.0,0.0,0.0,0.0,1.0
ENSG00000126698,0.0,0.0,0.0,0.0,1.0
ENSG00000130770,1.0,1.0,0.0,1.0,1.0
ENSG00000162511,1.0,0.0,1.0,0.0,0.0
ENSG00000084623,0.0,0.0,0.0,1.0,1.0
ENSG00000182866,1.0,0.0,0.0,0.0,0.0
ENSG00000116560,0.0,0.0,0.0,0.0,1.0
ENSG00000168653,1.0,0.0,1.0,1.0,1.0
ENSG00000090621,0.0,0.0,0.0,1.0,0.0
ENSG00000065978,0.0,0.0,1.0,1.0,1.0
ENSG00000117410,0.0,0.0,0.0,1.0,0.0
ENSG00000142937,12.0,3.0,7.0,30.0,17.0
ENSG00000117450,0.0,0.0,2.0,2.0,2.0
ENSG00000117448,0.0,0.0,0.0,1.0,0.0
ENSG00000132780,0.0,0.0,0.0,0.0,1.0
ENSG00000117472,0.0,1.0,0.0,0.0,0.0
ENSG00000173660,1.0,0.0,1.0,3.0,1.0
ENSG00000116209,1.0,0.0,0.0,6.0,2.0
ENSG00000162407,0.0,0.0,0.0,0.0,1.0
ENSG00000177606,0.0,1.0,0.0,2.0,6.0
ENSG00000162599,0.0,0.0,0.0,0.0,1.0
ENSG00000213625,0.0,0.0,0.0,0.0,1.0
ENSG00000184588,0.0,0.0,0.0,1.0,0.0
ENSG00000142864,1.0,0.0,0.0,1.0,1.0
ENSG00000116754,0.0,0.0,0.0,0.0,1.0
ENSG00000132485,0.0,0.0,0.0,1.0,1.0
ENSG00000174021,0.0,0.0,0.0,1.0,1.0
ENSG00000142871,0.0,0.0,0.0,0.0,1.0
ENSG00000183291,0.0,0.0,0.0,1.0,0.0
ENSG00000117228,0.0,0.0,0.0,0.0,1.0
ENSG00000162645,0.0,0.0,0.0,0.0,1.0
ENSG00000122406,7.0,0.0,4.0,18.0,9.0
ENSG00000117519,0.0,0.0,0.0,0.0,1.0
ENSG00000162692,0.0,0.0,0.0,0.0,1.0
ENSG00000134202,0.0,0.0,0.0,0.0,1.0
ENSG00000184371,0.0,0.0,0.0,0.0,1.0
ENSG00000134248,0.0,0.0,0.0,1.0,1.0
ENSG00000143119,1.0,0.0,0.0,0.0,0.0
ENSG00000155366,0.0,0.0,0.0,0.0,1.0
ENSG00000134242,1.0,0.0,0.0,0.0,0.0
ENSG00000116752,0.0,0.0,0.0,1.0,0.0
ENSG00000009307,0.0,0.0,0.0,2.0,1.0
ENSG00000116824,1.0,0.0,0.0,0.0,0.0
ENSG00000183508,0.0,0.0,0.0,3.0,0.0
ENSG00000232527,0.0,0.0,0.0,0.0,1.0
ENSG00000265241,1.0,0.0,1.0,1.0,1.0
ENSG00000265972,0.0,0.0,0.0,1.0,5.0
ENSG00000266472,0.0,0.0,0.0,0.0,1.0
ENSG00000143369,0.0,0.0,0.0,0.0,1.0
ENSG00000143384,1.0,0.0,1.0,2.0,2.0
ENSG00000163131,0.0,0.0,0.0,1.0,0.0
ENSG00000143387,0.0,0.0,0.0,0.0,1.0
ENSG00000197747,1.0,2.0,1.0,0.0,2.0
ENSG00000163191,1.0,0.0,2.0,1.0,4.0
ENSG00000197956,2.0,12.0,4.0,1.0,20.0
ENSG00000196154,4.0,0.0,3.0,0.0,8.5
ENSG00000189171,0.0,0.0,0.0,0.0,3.0
ENSG00000143545,0.0,0.0,0.0,0.0,1.0
ENSG00000177954,41.0,5.0,11.0,46.0,29.0
ENSG00000143549,1.0,1.0,1.0,0.0,0.0
ENSG00000143575,0.0,0.0,0.0,1.0,0.0
ENSG00000163463,0.0,0.0,0.0,3.0,1.0
ENSG00000163479,1.0,0.0,0.0,4.0,1.0
ENSG00000160789,0.0,1.0,3.0,1.0,2.0
ENSG00000143297,0.0,0.0,0.0,1.0,0.0
ENSG00000163565,0.0,0.0,0.0,0.0,2.0
ENSG00000158710,1.0,0.0,1.0,1.0,2.0
ENSG00000117091,1.0,0.0,0.0,1.0,0.0
ENSG00000026751,0.0,0.0,0.0,1.0,0.0
ENSG00000215845,0.0,0.0,0.0,1.0,0.0
ENSG00000143256,0.0,0.0,0.0,0.0,1.0
ENSG00000143222,0.0,0.0,0.0,1.0,0.0
ENSG00000158869,0.0,0.0,2.0,0.0,0.0
ENSG00000185630,0.0,0.0,0.0,0.0,1.0
ENSG00000143198,0.0,0.0,0.0,1.0,1.0
ENSG00000143183,0.0,0.0,0.0,1.0,1.0
ENSG00000117523,1.0,0.0,0.0,1.0,1.0
ENSG00000117592,0.0,0.0,0.0,0.0,1.0
ENSG00000116260,0.0,0.0,0.0,0.0,1.0
ENSG00000135821,0.0,0.0,1.0,0.0,1.0
ENSG00000162704,1.0,0.0,0.0,0.0,1.0
ENSG00000090104,2.0,0.0,1.0,2.0,0.0
ENSG00000000971,0.0,0.0,0.0,0.0,3.0
ENSG00000081237,3.0,0.0,0.0,0.0,0.0
ENSG00000163435,0.0,5.0,0.0,0.0,0.0
ENSG00000159388,1.0,1.0,0.0,3.0,3.0
ENSG00000182004,0.0,0.0,0.0,0.0,0.5
ENSG00000158615,0.0,0.0,0.0,0.0,1.0
ENSG00000069275,0.0,0.0,0.0,0.0,2.0
ENSG00000162896,0.0,5.0,0.0,0.0,0.0
ENSG00000162772,0.0,0.0,0.0,0.0,1.0
ENSG00000143819,0.0,0.0,0.0,0.0,1.0
ENSG00000163041,4.0,1.0,3.0,5.0,7.0
ENSG00000143761,1.0,0.0,0.0,1.0,1.0
ENSG00000143774,0.0,0.0,0.0,1.0,0.0
ENSG00000173726,1.0,0.0,0.0,1.0,1.0
ENSG00000054267,1.0,0.0,0.0,0.0,1.0
ENSG00000153187,0.0,0.0,0.0,0.0,1.0
ENSG00000171863,10.0,1.0,6.0,19.0,12.0
ENSG00000235576,1.0,0.0,0.0,0.0,0.0
ENSG00000115738,1.0,0.0,0.0,0.0,1.0
ENSG00000143870,0.0,0.0,0.0,3.0,0.0
ENSG00000068697,0.0,0.0,1.0,1.0,3.0
ENSG00000143878,0.0,0.0,0.0,0.0,1.0
ENSG00000115128,0.0,0.0,0.0,1.0,1.0
ENSG00000228474,2.0,0.0,1.0,6.0,3.0
ENSG00000138085,0.0,0.0,0.0,1.0,1.0
ENSG00000243147,0.0,0.0,0.0,0.0,1.0
ENSG00000213639,1.0,0.0,0.0,0.0,0.0
ENSG00000119801,1.0,0.0,0.0,3.0,0.0
ENSG00000115875,3.0,0.0,1.0,2.0,2.0
ENSG00000143924,1.0,0.0,0.0,0.0,0.0
ENSG00000115944,0.0,0.0,0.0,1.0,1.0
ENSG00000152518,2.0,0.0,0.0,1.0,2.0
ENSG00000152527,0.0,0.0,0.0,0.0,1.0
ENSG00000143933,1.0,0.0,1.0,1.0,3.0
ENSG00000119888,0.0,1.0,0.0,0.0,0.0
ENSG00000068912,0.0,0.0,0.0,1.0,0.0
ENSG00000115306,0.0,0.0,0.0,0.0,1.0
ENSG00000115310,0.0,0.0,0.0,0.0,1.0
ENSG00000143947,19.0,1.0,9.0,31.0,18.0
ENSG00000115380,0.0,0.0,0.0,0.0,1.0
ENSG00000162924,2.0,0.0,1.0,0.0,0.0
ENSG00000143977,1.0,0.0,0.0,1.0,1.0
ENSG00000115307,0.0,0.0,0.0,1.0,0.0
ENSG00000034510,8.0,5.0,6.0,7.0,16.0
ENSG00000042493,0.0,0.0,1.0,0.0,0.0
ENSG00000168906,0.0,0.0,0.0,0.0,1.0
ENSG00000118640,1.0,0.0,1.0,1.0,0.0
ENSG00000168899,0.0,0.0,0.0,0.0,1.0
ENSG00000168894,0.0,0.0,0.0,1.0,0.0
ENSG00000222041,0.0,0.0,0.0,1.0,0.0
ENSG00000163586,0.0,2.0,0.0,0.0,0.0
ENSG00000211592,3.0,2.0,2.0,2184.0,2.0
ENSG00000158050,1.0,0.0,0.0,0.0,0.0
ENSG00000135940,1.0,1.0,1.0,1.0,1.0
ENSG00000158417,0.0,0.0,0.0,1.0,0.0
ENSG00000071082,3.0,1.0,1.0,3.0,2.0
ENSG00000115091,1.0,0.0,0.0,0.0,0.0
ENSG00000088205,0.0,0.0,0.0,1.0,0.0
ENSG00000155368,1.0,0.0,1.0,1.0,1.0
ENSG00000136732,0.0,0.0,0.0,1.0,0.0
ENSG00000144224,0.0,0.0,0.0,1.0,0.0
ENSG00000121966,4.0,0.0,0.0,0.0,0.0
ENSG00000169554,0.0,0.0,0.0,0.0,1.0
ENSG00000115963,0.0,0.0,0.0,0.0,1.0
ENSG00000153234,1.0,0.0,0.0,0.0,0.0
ENSG00000115165,1.0,0.0,0.0,2.0,0.0
ENSG00000138398,0.0,0.0,0.0,0.0,1.0
ENSG00000138385,0.0,0.0,0.0,0.0,1.0
ENSG00000115935,1.0,0.0,0.0,0.0,0.0
ENSG00000154518,0.0,1.0,0.0,1.0,1.0
ENSG00000170144,1.0,0.0,1.0,1.0,2.0
ENSG00000116044,0.0,0.0,0.0,0.0,1.0
ENSG00000003436,0.0,0.0,0.0,0.0,1.0
ENSG00000168542,0.0,0.0,0.0,0.0,9.0
ENSG00000204262,0.0,0.0,0.0,0.0,1.0
ENSG00000128699,0.0,0.0,0.0,1.0,0.0
ENSG00000081320,1.0,0.0,0.0,1.0,0.0
ENSG00000115524,0.0,0.0,0.0,0.0,1.0
ENSG00000144381,0.0,0.0,0.0,1.0,1.0
ENSG00000115541,1.0,0.0,1.0,1.0,1.0
ENSG00000082153,0.0,0.0,0.0,0.0,1.0
ENSG00000003402,0.0,0.0,0.0,1.0,0.0
ENSG00000116030,0.0,0.0,0.0,0.0,1.0
ENSG00000114942,4.0,1.0,2.0,12.0,3.0
ENSG00000115414,0.0,0.0,0.0,0.0,4.0
ENSG00000079246,0.0,0.0,0.0,0.0,1.0
ENSG00000197756,9.0,3.0,6.0,19.0,10.0
ENSG00000163466,2.0,0.0,1.0,2.0,0.5
ENSG00000135916,0.0,1.0,0.0,1.0,0.0
ENSG00000115053,1.0,0.0,1.0,1.0,2.0
ENSG00000187514,14.0,4.0,10.0,15.0,14.0
ENSG00000188042,1.0,0.0,0.0,0.0,0.0
ENSG00000163359,0.0,0.0,0.0,0.0,1.0
ENSG00000172428,0.0,0.0,0.0,1.0,1.0
ENSG00000115677,0.0,0.0,0.0,1.0,1.0
ENSG00000168385,0.0,0.0,0.0,0.0,1.0
ENSG00000254999,1.0,0.0,0.0,1.0,1.0
ENSG00000144713,17.0,2.0,8.0,29.0,17.0
ENSG00000170860,0.0,0.0,0.0,1.0,0.0
ENSG00000206560,0.0,0.0,0.0,2.0,0.0
ENSG00000174748,10.0,1.0,5.0,24.0,11.0
ENSG00000144674,0.0,0.0,0.0,1.0,0.0
