cluster_name,skos,manual_mapped_cid,cell_ontology_id
AT1/AT2-like,,,CL:0000066
AT2/Club-like,,,CL:0000066
B cell,,,CL:0000236
T cell,,,CL:0000084
alveolar macrophage,,,CL:0000583
basal cell,,,CL:0000646
blood vessel endothelial cell,,,CL:0000071
chondrocyte,,,CL:0000138
ciliated cell,,,CL:0000064
club cell,,,CL:0000158
dendritic cell,,,CL:0000451
endothelial cell,,,CL:0000115
endothelial cell of artery,,,CL:1000413
enucleate erythrocyte,,,CL:0000595
fibroblast,,,CL:0000057
goblet cell,,,CL:0000160
lymphatics,,,CL:0000115
macrophage,,,CL:0000235
mast cell,,,CL:0000097
monocyte,,,CL:0000576
myofibroblast cell,,,CL:0000186
natural killer cell,,,CL:0000623
pericyte cell,,,CL:0000669
smooth muscle cell,,,CL:0000192
type I pneumocyte,,,CL:0002062
type II pneumocyte,,,CL:0002063
unknown,,,unknown
vascular associated smooth muscle cell,,,CL:0000359
vein endothelial cell,,,CL:0002543
