,AT1,AT2,Artery,B Cells,Basophil and Mast Cells,Capillary,Ciliated Cells,Lymphatic  Cells,Macrophage and Dendritic Cells,Macrophages,Monocytes,Natural Killer Cells,Neutrophils,Other Epithelial Cells,Proliferating Macrophage,Stromal Cells,T Cells,Vein
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000187608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000078808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.955513126709882,0.0,0.0,0.0
ENSG00000160087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000175756,0.0,0.8343515606487498,0.0,0.0,0.0,0.0,0.8446513554629158,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.8478527174276465,0.0,0.0,0.0
ENSG00000221978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000242485,0.0,0.8310554343111375,0.0,0.0,0.0,0.0,0.8257987674544839,0.0,0.0,0.8111459297292373,0.0,0.0,0.0,0.7647058823529411,0.7991084771997788,0.0,0.0,0.0
ENSG00000160075,0.0,0.8625886755831101,0.0,0.0,0.0,0.0,0.841962621492498,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.8266261184916777,0.0,0.0,0.0
ENSG00000248333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000078369,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8532780829597922,0.8603956489002004,0.0,0.0,0.0,0.8411467881763682,0.0,0.0,0.0
ENSG00000142609,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162585,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9446956059511971,0.0,0.0,0.0
ENSG00000157933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000157916,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.8344850364853355,0.0,0.0,0.8442639357903424,0.0,0.0,0.0,0.0,0.8687671668389264,0.0,0.0,0.0
ENSG00000069424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116251,0.11764705882352941,0.1696191395030302,0.13708248208550847,0.18648575333987966,0.3114975655780119,0.0,0.13157336150898652,0.1367447867113001,0.18599782621159272,0.19854923907448263,0.20064286274068496,0.16535012511646047,0.0,0.17865690063027775,0.16969160472645478,0.14589142098146327,0.23800371674930348,0.15279054992339192
ENSG00000116237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
