,acinar,acinar_minor_mhcclassII,alpha,beta_major,beta_minor,delta,duct_acinar_related,duct_major,endothelial,epsilon,hybrid,immune_stellates,pp,stellates
ENSG00000100568,0.0,0.0,0.0,0.7959389961682833,0.0,0.0,0.7692307692307693,0.8482630069439228,0.0,0.0,0.0,0.0,0.0,0.7908077239990234
ENSG00000104960,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186395,0.0,0.011677907063410832,0.14205918403772208,0.10763032161272489,0.0480614946438716,0.13188633551964393,0.3463234030283414,0.27790533579312837,0.24682712096434373,0.05543390145668617,0.17626757805164045,0.08843966172291683,0.16011173450029814,0.14221880986140326
ENSG00000131236,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.8238727496220515,0.8348047091410711,0.0,0.0,0.0,0.0,0.0,0.8245187951968267
ENSG00000131508,0.08067249793272752,0.07692307692307693,0.30511622245495135,0.22115239271750817,0.13773028667156512,0.22386378966845,0.32689050986216617,0.3168270129423875,0.47659383370326114,0.0,0.28619762108876157,0.1286505598288316,0.22341014330203718,0.3286374578109154
ENSG00000079332,0.0,0.0,0.5587270443256085,0.5384615384615384,0.0,0.0,0.6340069541564355,0.5995633281194247,0.5683278716527499,0.0,0.5733265143174392,0.0,0.0,0.7221633333426255
ENSG00000130300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101367,0.0,0.0,0.750611057648292,0.6519410839447608,0.0,0.6153846153846154,0.753782726251162,0.691613481594966,0.0,0.0,0.0,0.0,0.0,0.6539874718739436
ENSG00000213246,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.9160189720300528,0.0,0.0,0.0,0.0,0.0,0.9133512606987586
ENSG00000125820,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162521,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137331,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.8298679177577679,0.8302571773529053,0.0,0.0,0.0,0.0,0.0,0.8395925943668072
ENSG00000175166,0.0,0.0,0.7144132394057053,0.6292758217224708,0.0,0.6153846153846154,0.7282709571031424,0.7013596112911518,0.0,0.0,0.0,0.0,0.0,0.7251544732313889
ENSG00000125901,0.0,0.0,0.0,0.8546916613211999,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886689883012038
