,ATL,DCT1,DCT2,ENDO,FIB,ICA,ICB,LEUK,MES,PC,PEC,PODO,PT,PTVCAM1,TAL1,TAL2
ENSG00000078369,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
ENSG00000142611,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.0,0.5333333333333333,0.5333333333333333,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333
ENSG00000171735,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
ENSG00000116285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.9333333333333333,0.0,0.0,0.0
ENSG00000142599,0.01383458375930786,0.11359085241953532,0.11359085241953532,0.01383458375930786,0.01383458375930786,0.2037879506746928,0.11359085241953532,0.01383458375930786,0.01383458375930786,0.01383458375930786,0.01383458375930786,0.11359085241953532,0.0,0.01383458375930786,0.01383458375930786,0.01383458375930786
ENSG00000171612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000054523,0.3,0.3,0.0,0.3,0.26666666666666666,0.3,0.3,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3
ENSG00000130940,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0
ENSG00000048707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162496,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957938015460968,0.0,0.0,0.0,0.0
ENSG00000189337,0.3384061495463053,0.27483708461125694,0.392159628868103,0.06666666666666667,0.06666666666666667,0.18969007730484008,0.18969007730484008,0.06666666666666667,0.06666666666666667,0.5043275276819865,0.392159628868103,0.0,0.06666666666666667,0.18969007730484008,0.3384061495463053,0.27483708461125694
ENSG00000171729,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000065526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
