,CD3+ T-cells,CDC1,Cholangiocytes,Cycling Myeloid,Cycling Plasma,Doublet,Erythrocytes,HSC,Hepatocytes,KC Like,LSEC,Macrophage (MHCII high),Mature B-cells,Mono-Mac,Myeloid Erythrocytes (phagocytosis),NK-like cells,Neutrophil,Plasma cells,Platelets,gd T-cells
ENSG00000188976,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000187608,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9592996176303686,0.0,0.0,0.0,0.0,0.0
ENSG00000078808,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175756,0.0,0.7368421052631579,0.8040866277054117,0.0,0.8671292434902557,0.0,0.0,0.0,0.0,0.0,0.0,0.7383313771448414,0.0,0.0,0.7583206011017284,0.0,0.0,0.7491088284247747,0.0,0.0
ENSG00000242485,0.0,0.8165498977695971,0.7475500969812555,0.0,0.8290763364927021,0.0,0.0,0.0,0.0,0.0,0.0,0.73728448841022,0.0,0.0,0.7892162335497064,0.0,0.0,0.7368421052631579,0.0,0.0
ENSG00000160075,0.0,0.9284054765804318,0.0,0.0,0.8980962083750379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,0.0,0.0
ENSG00000078369,0.0,0.8420928914802746,0.0,0.0,0.0,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,0.8423207598565199,0.0,0.82074111251583,0.8694732281105778,0.0,0.0,0.0,0.0,0.0
ENSG00000162585,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157916,0.0,0.8802166622844972,0.0,0.0,0.9099045389031609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8726640512844747,0.0,0.0,0.8421052631578947,0.0,0.0
ENSG00000157873,0.0,0.9871163651112763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0
ENSG00000235169,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116251,0.23149609704863067,0.31663397782777486,0.1801472004216393,0.2038770749214851,0.24195054875937652,0.18536840152032222,0.06516787675364899,0.13805190716217547,0.05263157894736842,0.15589160664935528,0.15036002803058524,0.1971651871192873,0.29855606012639613,0.20916996145060757,0.1335347617987261,0.1789422337650006,0.0,0.12145268689188335,0.12668267024828336,0.15968171668209774
ENSG00000171735,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116288,0.38686825005503145,0.5274555951904277,0.45288562447197833,0.27702592419073807,0.5576024973774707,0.3467451287632384,0.0,0.38099766938772245,0.0,0.2631578947368421,0.0,0.33511229836010986,0.3155725926046657,0.2897673655460692,0.3074298561611074,0.4432848656190252,0.0,0.2899587433019227,0.4779352163791982,0.0
