,Differentiated keratinocytes I,Differentiated keratinocytes II,Endothelial cells,Fibroblasts I,Fibroblasts II,Immune,Melanocytes/melanocyte-like,Pericytes,Terminally differentiated keratinocytes,Undifferentiated keratinocytes I,Undifferentiated keratinocytes II
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000162576,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175756,0.7680519998073578,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7461462140083313,0.0,0.7325572490692138
ENSG00000242485,0.9213786959648133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
ENSG00000160075,0.6132638096809387,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6183746814727783,0.6157321333885193,0.6114491522312164
ENSG00000197530,0.7700492560863494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.788898354768753,0.7514235377311707
ENSG00000078369,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157916,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867223984003067,0.0,0.8061713874340057
ENSG00000116251,0.08404912948608398,0.08676453828811645,0.05938006043434143,0.02027842402458191,0.013600683212280274,0.043876010179519656,0.0,0.060939478874206546,0.010895317792892456,0.06291061639785767,0.07437478303909302
ENSG00000162413,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171735,0.6309255599975586,0.6801585257053375,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7147529482841491,0.7142993927001953
ENSG00000116288,0.6,0.0,0.0,0.0,0.665861165523529,0.0,0.0,0.7586037755012512,0.0,0.6509513974189758,0.6751492500305176
ENSG00000116285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000074800,0.5937193751335144,0.559689748287201,0.0,0.0,0.5292791187763214,0.0,0.0,0.0,0.5,0.5850487232208252,0.6645100057125092
ENSG00000171603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000178585,0.7881109952926636,0.7459925770759582,0.0,0.0,0.0,0.0,0.0,0.0,0.8283247351646423,0.0,0.7
ENSG00000130940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000142627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000169991,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9803627490997314,0.0,0.0
ENSG00000127481,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9676505088806152,0.0,0.0
ENSG00000077549,0.5829498171806335,0.5,0.0,0.0,0.5153510272502899,0.0,0.0,0.0,0.5395456552505493,0.5051994085311889,0.5218797385692596
ENSG00000173436,0.7449423909187317,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7180330395698548,0.0,0.7442762017250061
ENSG00000158747,0.7041800558567047,0.0,0.0,0.0,0.7856808006763458,0.0,0.0,0.0,0.0,0.7,0.7314545333385467
ENSG00000127483,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9404550790786743
ENSG00000142798,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000070831,0.4692647039890289,0.4297131776809692,0.4273194134235382,0.0,0.4,0.0,0.0,0.0,0.4920607030391693,0.43244468569755556,0.4121226787567139
ENSG00000125944,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9533856630325317
ENSG00000117318,0.6,0.6034339964389801,0.78515065908432,0.0,0.0,0.0,0.0,0.0,0.0,0.6424801111221313,0.6436532139778137
ENSG00000142676,0.07047220468521118,0.08833810091018676,0.07111943960189819,0.018905389308929443,0.01516825556755066,0.06688490509986877,0.0,0.036417460441589354,0.012840569019317627,0.06336813569068908,0.059759867191314694
ENSG00000057757,0.8040303230285645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8057676732540131
ENSG00000158055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000133226,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9245031237602234
ENSG00000117614,0.7355278313159943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7604743421077729,0.7571304619312287
ENSG00000117616,0.6429711759090424,0.6222486615180969,0.0,0.0,0.0,0.0,0.0,0.0,0.673526155948639,0.6181147456169128,0.6
ENSG00000183726,0.5634268641471862,0.5,0.0,0.0,0.0,0.0,0.0,0.6795260190963746,0.6024644076824188,0.5099148035049439,0.5134789884090424
ENSG00000117632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000142669,0.3326324880123138,0.3257232427597046,0.33701890110969546,0.0,0.3844638288021088,0.5797395825386047,0.0,0.0,0.3683453261852264,0.3228706896305084,0.3
ENSG00000169442,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198830,0.5552275359630585,0.0,0.0,0.0,0.5750543355941773,0.0,0.0,0.5998369693756104,0.5,0.6046089112758637,0.7668857395648956
ENSG00000175793,0.6068538725376129,0.6423872888088227,0.0,0.0,0.0,0.0,0.0,0.0,0.6118125259876251,0.6197288453578949,0.6
ENSG00000090273,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9484152376651764
ENSG00000158246,0.7409971714019775,0.7298919498920441,0.0,0.0,0.0,0.0,0.0,0.0,0.772448581457138,0.0,0.7
ENSG00000142765,0.8474828600883484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8362350463867188,0.0,0.8
ENSG00000158195,0.7019067943096161,0.0,0.738055419921875,0.0,0.0,0.0,0.0,0.0,0.7177788734436035,0.0,0.7
ENSG00000126698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000130770,0.6800049304962158,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6127554833889007,0.600950962305069,0.6617370128631592
ENSG00000204138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000197989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9209040880203248,0.9
ENSG00000162511,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000142910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000184007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000121774,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9516833424568176
ENSG00000084623,0.6465815305709839,0.6354491770267486,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6552577018737793,0.6554388165473938
ENSG00000121900,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9322647392749787,0.0,0.0
ENSG00000188910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000116560,0.6,0.6411116480827331,0.0,0.0,0.0,0.0,0.0,0.0,0.624186897277832,0.6042964041233063,0.6297919929027558
ENSG00000126067,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925953847169876
ENSG00000054116,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9281838119029999
ENSG00000116871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000116898,0.9490046083927155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
ENSG00000163874,0.0,0.7119818747043609,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.8200519263744355,0.733212673664093
ENSG00000185668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168653,0.30848847031593324,0.2505605697631836,0.2,0.2038326919078827,0.2633638858795166,0.0,0.0,0.44000483751297,0.24361824989318848,0.2869707107543945,0.3548311531543732
ENSG00000127603,0.8706687927246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9228736817836761,0.0,0.8
ENSG00000168389,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131236,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9240595102310181,0.0,0.0
ENSG00000127125,0.9255807876586915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
ENSG00000065978,0.18981178998947143,0.19382832050323487,0.20969090461730958,0.11612314581871033,0.16590262055397034,0.1285169780254364,0.0,0.23028039336204528,0.1,0.24959946274757386,0.293409126996994
ENSG00000117394,0.8181250512599945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9284940123558044,0.8
ENSG00000066322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000142949,0.8549416601657868,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8175576686859131,0.0,0.0
ENSG00000117410,0.6353965640068054,0.6060244560241699,0.0,0.0,0.0,0.0,0.0,0.0,0.7248040974140167,0.6,0.6216778814792633
ENSG00000142937,0.14694811701774596,0.16569518446922302,0.05837191343307495,0.02033041715621948,0.013970357179641724,0.025292623043060302,0.0,0.08139333724975586,0.07519078254699707,0.13155695796012878,0.1484350323677063
ENSG00000117450,0.05143340826034546,0.0007356882095336914,0.025484412908554077,0.010862696170806884,0.027425068616867065,0.0,0.025466996431350707,0.05131446719169617,0.01197502613067627,0.05331242084503174,0.08782013058662415
ENSG00000132780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000159592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000173660,0.45483514070510866,0.4475337386131287,0.4,0.0,0.0,0.0,0.0,0.4375895619392395,0.42431375980377195,0.46664066314697267,0.506438022851944
ENSG00000162366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000162368,0.8037430226802826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8402003705501556,0.0,0.8
ENSG00000123091,0.8042682588100434,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8213733553886413,0.0,0.0
ENSG00000134717,0.8068856418132782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8072918474674224,0.0,0.8
ENSG00000116171,0.7634560108184815,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7808687627315521,0.0,0.7196097135543823
ENSG00000162385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000116209,0.1317221701145172,0.1,0.21314846277236937,0.3026913464069366,0.4143259108066559,0.0,0.31378819346427916,0.21679845452308655,0.11701504588127136,0.1332780420780182,0.1122738242149353
ENSG00000116133,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9586001932621002,0.0,0.0
ENSG00000162407,0.0,0.0,0.0,0.9,0.9182724773883819,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184292,0.6,0.6420608043670655,0.0,0.0,0.0,0.0,0.0,0.0,0.6989423632621765,0.627795422077179,0.6014405786991119
ENSG00000177606,0.22381789684295655,0.04574801325798035,0.0057324647903442385,0.04412655234336853,0.032712030410766604,0.0,0.07118776440620422,0.036033529043197635,0.2096002221107483,0.3290229499340057,0.17621680498123168
ENSG00000162434,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9529268860816955,0.0,0.0
ENSG00000213625,0.0,0.0,0.8778571903705596,0.8,0.8387030184268951,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142864,0.5382327556610107,0.5465283751487732,0.5,0.0,0.0,0.0,0.0,0.0,0.5271559894084931,0.5175473749637604,0.5356701016426086
ENSG00000116717,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8190411031246185,0.8076311707496643
ENSG00000172380,0.734871506690979,0.7164105474948883,0.0,0.0,0.0,0.0,0.0,0.0,0.8283784508705139,0.0,0.7
ENSG00000116754,0.5412090480327606,0.5248310565948486,0.580147099494934,0.0,0.0,0.0,0.0,0.0,0.5,0.5556698739528656,0.53857781291008
ENSG00000162618,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000174021,0.5168700277805328,0.5214611291885376,0.5549212515354156,0.0,0.0,0.0,0.0,0.0,0.5,0.5629082679748535,0.5606373071670532
ENSG00000142871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000137975,0.8178650081157685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8699682176113128,0.0,0.8
ENSG00000097033,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000183291,0.9,0.0,0.0,0.0,0.9410558223724366,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143013,0.7802572846412659,0.710250735282898,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.735460352897644
ENSG00000122406,0.07974753975868225,0.0981061577796936,0.07880382537841797,0.03203027844429016,0.022823214530944824,0.044874900579452516,0.0,0.10529596209526063,0.005321705341339111,0.1150057315826416,0.09504262804985046
ENSG00000137962,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117519,0.0,0.0,0.8,0.0,0.8171148478984833,0.0,0.8320855975151062,0.0,0.0,0.0,0.0
ENSG00000099260,0.8510222911834717,0.0,0.9234132945537568,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
