,Diff. Keratinocytes,EpSC and undiff. progenitors,Erythrocytes,Lymphatic EC,Macrophages+DC,Melanocytes,Mesenchymal fibroblasts,Pericytes,Pro-inflammatory fibroblasts,Secretory-papillary fibroblasts,Secretory-reticular fibroblasts,T cells,Vascular EC
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000078808,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162576,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175756,0.9166666666666666,0.0,0.0,0.0,0.0,0.9570978482564291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160075,0.8660813520352045,0.8333333333333334,0.0,0.0,0.0,0.8740828732649485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116251,0.12993866205215454,0.12198071678479512,0.0,0.13163527846336365,0.10189735392729442,0.0920454313357671,0.10207738478978474,0.12307147681713104,0.09051032364368439,0.09063129127025604,0.08333333333333333,0.14748409390449524,0.0957329918940862
ENSG00000171735,0.6823019435008367,0.7104215174913406,0.0,0.6666666666666666,0.0,0.720722903807958,0.0,0.7145655651887258,0.0,0.0,0.0,0.0,0.0
ENSG00000116288,0.0,0.6666666666666666,0.0,0.7162536084651947,0.0,0.7146693964799246,0.7395946780840555,0.7376127590735754,0.0,0.0,0.0,0.0,0.0
ENSG00000116285,0.9166666666666666,0.9468617687622706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000074800,0.6211067140102386,0.6754228919744492,0.0,0.5833333333333334,0.6235263894001642,0.6380096723635992,0.0,0.0,0.0,0.0,0.0,0.0,0.5995859404404958
ENSG00000178585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127481,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000077549,0.0,0.0,0.0,0.9217872967322668,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173436,0.9263952920834223,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158747,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8879978954792023,0.8985843608776728,0.0,0.0
ENSG00000070831,0.1051992525657018,0.08892765641212463,0.0,0.1955913950999578,0.2061192492643992,0.16032088299592337,0.09812757869561513,0.0865922470887502,0.08333333333333333,0.1011533538500468,0.10399688283602397,0.2201529194911321,0.13580963015556335
ENSG00000117318,0.0,0.0,0.0,0.5,0.0,0.0,0.5157503982385,0.5150215228398641,0.5578542600075403,0.6822062333424886,0.6282841364542643,0.0,0.5105315645535787
ENSG00000142676,0.14399231473604837,0.1150495211283366,0.0,0.12007697423299153,0.09531966348489125,0.08592962721983592,0.08957205712795258,0.08530781169732411,0.10379455486933391,0.08777045210202535,0.08333333333333333,0.14209878941377005,0.11025411387284596
ENSG00000133226,0.8542006860176722,0.8810073882341385,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000117616,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000183726,0.7599571297566096,0.75,0.0,0.7517664134502411,0.0,0.7912129163742065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117632,0.0,0.0,0.0,0.9166666666666666,0.0,0.9217939128478368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142669,0.20147458215554556,0.19242494801680246,0.0,0.19632684687773386,0.3398744761943817,0.22357515494028726,0.17384099463621774,0.0,0.16666666666666666,0.18849500020345053,0.2909107009569804,0.373461311062177,0.22792632381121317
ENSG00000169442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000198830,0.0,0.6015261312325796,0.0,0.6033631463845571,0.0,0.6394317199786504,0.7312820156415304,0.6864043672879537,0.0,0.0,0.0,0.0,0.5833333333333334
ENSG00000175793,0.8347324182589849,0.8277866442998251,0.0,0.6696647157271703,0.0,0.7202948977549871,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
ENSG00000090273,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130770,0.7923734734455744,0.75,0.0,0.761908491452535,0.0,0.7739548335472742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162511,0.0,0.0,0.0,0.8333333333333334,0.83400526146094,0.0,0.0,0.0,0.0,0.0,0.0,0.9005350867907206,0.0
ENSG00000142910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184007,0.0,0.0,0.0,0.0,0.9337520400683085,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000121774,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000084623,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175130,0.0,0.0,0.0,0.9306358446677526,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116560,0.6426797161499659,0.7094139754772186,0.0,0.5865310778220495,0.0,0.653254359960556,0.0,0.5868492970863978,0.0,0.0,0.0,0.0,0.5833333333333334
ENSG00000163875,0.8592914690574011,0.8532181431849798,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168653,0.19215787947177887,0.19267063836256662,0.0,0.19379474222660065,0.0,0.22171174983183542,0.1994879295428594,0.2681061973174413,0.18245143194993338,0.19577825566132864,0.17447025080521902,0.28391193350156146,0.16666666666666666
ENSG00000065978,0.0933515727519989,0.1195374180873235,0.0,0.19955928126970926,0.1909411499897639,0.14490373929341635,0.09345684945583344,0.12926659484704336,0.09805103639761607,0.09781956175963084,0.09443987905979156,0.08333333333333333,0.1125382383664449
ENSG00000117394,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117410,0.7133213380972544,0.7214013685782751,0.0,0.6666666666666666,0.7094257871309916,0.748671313126882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142937,0.22977068523565927,0.1749123732248942,0.0,0.13676542043685913,0.08491139113903046,0.0833534449338913,0.09989881018797557,0.127489705880483,0.11109893520673116,0.09012508392333984,0.08333333333333333,0.0836638609568278,0.11761770645777385
ENSG00000117450,0.2565393348534902,0.3071367194255193,0.0,0.2751214603583018,0.32627882063388824,0.38275477786858875,0.16666666666666666,0.21437947948773703,0.2067895382642746,0.1765980323155721,0.1944924145936966,0.0,0.22483776013056436
ENSG00000173660,0.4981554001569748,0.4690924634536107,0.0,0.4769148528575897,0.4166666666666667,0.4671563059091568,0.44874722758928937,0.4755578388770421,0.0,0.0,0.0,0.0,0.44757821162541706
ENSG00000162368,0.8464192450046539,0.8333333333333334,0.0,0.0,0.0,0.9107035944859186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000085832,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116171,0.0,0.0,0.0,0.9166666666666666,0.0,0.9789253572622935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116209,0.2529986749092738,0.2665545145670573,0.0,0.29833723107973736,0.0,0.38152343531449634,0.33785447974999744,0.25,0.31744466722011566,0.37984971205393475,0.3772092213233312,0.0,0.26148754358291626
ENSG00000162407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7523402472337087,0.75,0.8319331357876459,0.8048209697008133,0.0,0.0
ENSG00000184292,0.9166666666666666,0.9202175885438919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177606,0.2619974265495936,0.3289700696865718,0.0,0.31962643067042035,0.0,0.29311298330624896,0.2901769429445267,0.4033556977907817,0.29686738550662994,0.2839367240667343,0.25,0.0,0.3921191642681758
ENSG00000162599,0.0,0.0,0.0,0.917180726925532,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0
ENSG00000116678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9328595201174418,0.9166666666666666,0.0,0.0
ENSG00000142864,0.612836092710495,0.6225465635458628,0.0,0.5370723456144333,0.0,0.5333374639352163,0.5,0.5182631860176722,0.0,0.0,0.0,0.0,0.5521155446767807
ENSG00000116717,0.5887637188037237,0.7827269633611044,0.0,0.5833333333333334,0.0,0.5966339061657587,0.0,0.0,0.0,0.6251968046029409,0.0,0.0,0.7218028406302134
ENSG00000172380,0.0,0.9166666666666666,0.0,0.0,0.0,0.9449302355448405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116754,0.6870626956224442,0.7124624500672022,0.0,0.6666666666666666,0.0,0.7154440929492315,0.6964661379655203,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000174021,0.5833333333333334,0.6281870106856028,0.0,0.5903651465972265,0.6459665050109228,0.6132967472076416,0.0,0.0,0.0,0.0,0.0,0.0,0.6027609407901764
ENSG00000142871,0.0,0.8594672332207361,0.0,0.0,0.0,0.0,0.849325363834699,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
ENSG00000183291,0.0,0.0,0.0,0.8889398276805878,0.0,0.8333333333333334,0.9278014451265335,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000122406,0.1515300323565801,0.15101274847984314,0.0,0.1366166869799296,0.08333333333333333,0.09717118243376414,0.10634771486123402,0.1697454353173574,0.10647150874137878,0.08901821573575337,0.08489039540290833,0.09442113836606343,0.11319964627424876
ENSG00000117505,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137962,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9240047385295233
ENSG00000117519,0.0,0.0,0.0,0.6693509916464487,0.0,0.0,0.6952823996543884,0.6087585836648941,0.5924157649278641,0.5833333333333334,0.0,0.0,0.5935463309288025
ENSG00000134186,0.8501408199469248,0.8579754581054052,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000065135,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134248,0.7642960747083029,0.7682121843099594,0.0,0.6865951418876648,0.0,0.8306722690661749,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
ENSG00000116489,0.8917309542497,0.8560827225446701,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000155366,0.0,0.0,0.0,0.8430917461713155,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.8405331820249557
ENSG00000116774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000009307,0.8487652738889059,0.8605108062426249,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163399,0.7700037062168121,0.776275023818016,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.8435194144646326
ENSG00000143384,0.5940354814132055,0.5703042348225912,0.0,0.0,0.6431986341873804,0.5292411496241888,0.0,0.504871740937233,0.0,0.0,0.0,0.633640299240748,0.5
ENSG00000143420,0.9608633319536845,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143387,0.0,0.0,0.0,0.0,0.0,0.0,0.7834071119626363,0.0,0.75,0.7685086379448572,0.8256942431131998,0.0,0.0
ENSG00000197747,0.11005073289076488,0.12825505435466766,0.0,0.234616885582606,0.19703550140062967,0.16658726334571838,0.18742206195990244,0.08333333333333333,0.1665246138970057,0.2169975737730662,0.23765111962954202,0.14101802309354147,0.13470716774463654
ENSG00000163191,0.3466198444366455,0.33249759177366894,0.0,0.08900611599286397,0.23820140957832336,0.26393639544645947,0.11936349173386891,0.08333333333333333,0.16362953186035156,0.12560629844665527,0.2035031964381536,0.09984936813513438,0.10767338176568349
ENSG00000197956,0.08333333333333333,0.10395570596059163,0.0,0.1875079224507014,0.18975600600242615,0.14464479188124338,0.2165523817141851,0.16610289613405863,0.2420023779074351,0.2778788357973099,0.30764233072598773,0.14493445555369058,0.1725886364777883
ENSG00000196154,0.08333333333333333,0.08680741488933563,0.0,0.17737935483455658,0.31619179248809814,0.1357799619436264,0.2261297106742859,0.2585665434598923,0.23026098807652792,0.2352887491385142,0.2831668456395467,0.3507511516412099,0.15004003047943115
ENSG00000196754,0.7402240335941315,0.8608687768379847,0.0,0.6778417428334554,0.0,0.7265821794668833,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
ENSG00000188643,0.8192579050858816,0.7960396905740103,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761069655418396
ENSG00000189334,0.8917031536499659,0.8718870629866918,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000189171,0.0,0.0,0.0,0.632423922419548,0.0,0.5833333333333334,0.0,0.0,0.6864602267742157,0.6491332749525706,0.701355958978335,0.0,0.61725581685702
ENSG00000143621,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143543,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.9559646099805832,0.0,0.0
ENSG00000177954,0.12183514734109242,0.11900757253170013,0.0,0.09762960175673167,0.09579427043596904,0.08333333333333333,0.0861849586168925,0.0873493750890096,0.10984435677528381,0.09017477929592133,0.08692895372708638,0.18603476385275522,0.08596222599347432
ENSG00000143549,0.0,0.0,0.0,0.7580128808816274,0.7835723310709,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.8210364729166031
ENSG00000163463,0.0,0.0,0.0,0.9496678610642751,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163479,0.5,0.5062994708617529,0.0,0.5247523486614227,0.0,0.5536133050918579,0.6820134768883387,0.0,0.0,0.0,0.642067571481069,0.6483668635288874,0.0
ENSG00000160789,0.08333333333333333,0.0884670615196228,0.0,0.11289605498313904,0.14356846113999686,0.14950635532538095,0.18177505830923715,0.13466968635718027,0.169724240899086,0.19487198690573374,0.19321767489115396,0.15070154766241708,0.11192229390144348
ENSG00000143320,0.0,0.0,0.0,0.0,0.0,0.0,0.8628134032090505,0.0,0.0,0.8333333333333334,0.8815114349126816,0.0,0.0
ENSG00000163565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000213088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000179639,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158710,0.11550813913345337,0.13401690125465393,0.0,0.08333333333333333,0.251198207338651,0.09308476746082306,0.09971635043621063,0.08541591465473175,0.10062053302923839,0.1356998880704244,0.12228283782800038,0.14458746711413065,0.3107844640811284
ENSG00000143256,0.7474940915902456,0.7683904469013214,0.0,0.0,0.6666666666666666,0.7054510017236074,0.0,0.0,0.0,0.0,0.0,0.0,0.6870726495981216
ENSG00000158859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000158869,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143198,0.3333333333333333,0.34327006340026855,0.0,0.4073001394669215,0.0,0.4454038043816884,0.4913599838813146,0.5440766910711924,0.0,0.42469542225201923,0.4760910173257192,0.0,0.37024863064289093
ENSG00000143196,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.9195204178492228,0.0,0.0,0.0,0.0
ENSG00000143153,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000116132,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117523,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117592,0.766323318084081,0.7501540829737982,0.0,0.75,0.0,0.7586593975623449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169905,0.9166666666666666,0.9276714275280634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135821,0.0,0.0,0.0,0.8255124588807424,0.0,0.75,0.0,0.0,0.0,0.8487794399261475,0.0,0.0,0.806466152270635
ENSG00000143333,0.0,0.0,0.0,0.6753943512837092,0.0,0.0,0.0,0.7879192183415095,0.6666666666666666,0.7114745378494263,0.0,0.0,0.697507917881012
ENSG00000162704,0.4570203373829524,0.4754725793997447,0.0,0.5118914147218069,0.6716172446807226,0.5466105788946152,0.49402003983656567,0.545504609743754,0.0,0.0,0.0,0.0,0.4166666666666667
ENSG00000090104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8613635748624802,0.8333333333333334,0.8392850657304128,0.0,0.0
